manual_keep_qian_0_1,manual_exclusion_reason,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_event_date_corrected,manual_initiative_type,manual_confidence_1_3,manual_notes,sec_code,sec_name,announcement_date,announcement_title,short_title,candidate_tier,qian_recall_score,query_terms,query_tiers,matched_genai_terms,title_exclusion_reason,announcement_content,action_snippet,denial_snippet,pdf_url,announcement_id,page_column,announcement_type,download_status,pdf_file,txt_file,pdf_bytes,text_chars,download_error,fulltext_matched_genai_terms,auto_pdf_label,auto_keep_likely_qian,title_event_flag,noisy_title_flag,context_action_flag,full_action_flag,company_actor_flag,denial_or_uncertain_flag,attention_only_flag,pdf_genai_context
,,,,,,,,526,学大教育,2026-01-26,学大教育：关于与关联方专业投资机构共同新设合伙企业及对外投资的公告,关于与关联方专业投资机构共同新设合伙企业及对外投资的公告,priority_manual_event_candidate,6,大模型;模型备案,broad_genai_recall;registry_recall,大模型,,2、把握行业人才需求机遇，打造集成电路职业教育新体系集成电路产业的快速发展，尤其是 AI 大模型、自动驾驶等场景的兴起,学大教育：关于与关联方专业投资机构共同新设合伙企业及对外投资的公告 关于与关联方专业投资机构共同新设合伙企业及对外投资的公告 2、把握行业人才需求机遇，打造集成电路职业教育新体系集成电路产业,,https://static.cninfo.com.cn/finalpage/2026-01-27/1224951168.PDF,1224951168,SZZB,01010503||010112||011705,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2026-01-26_000526_学大教育_1224951168_学大教育：关于与关联方专业投资机构共同新设合伙企业及对外投资的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2026-01-26_000526_学大教育_1224951168_学大教育：关于与关联方专业投资机构共同新设合伙企业及对外投资的公告.txt,273449,20221,,大模型,likely_qian_initiative,1,1,0,1,1,1,0,0,。在此背景 下，学大作为教育上市公司，依托拟投江阴启芯领航项目的 EDA 实训资源优势共 同培养综合型、应用型人才，既是响应国家培育壮大新兴产业、未来产业号召， 深入推进战略性新兴产业融合集群发展，也体现出学大职业教育板块以产业为内 涵的体系建设和服务的核心竞争力。 2、把握行业人才需求机遇，打造集成电路职业教育新体系 集成电路产业的快速发展，尤其是 AI 大模型、自动驾驶等场景的兴起，推 动了对 EDA 工具和算力芯片的持续需求，也带动了行业对复合型 EDA 人才的旺 盛期待。EDA 技术门槛高、知识结构复杂，需要跨学科综合能力，因此产业对系 统培养体系的需求更加突出。随着本土企业在主芯片与算力领域的不断突破，行 业对高素质人才的重视程度进一步提升。 与此同时，高校在集成电路领域的基础教学体系较为成熟，但面向产业前
,,,,,,,,681,视觉中国,2025-08-08,视觉中国：关于全资子公司终止与专业投资机构共同投资的公告,关于全资子公司终止与专业投资机构共同投资的公告,priority_manual_event_candidate,7,智谱,named_model,智谱,,盐城智华将直接或间接投资于北京智谱华章科技有限公司（现已改名为：北京智谱华章科技股份有限公司）股权。,视觉中国：关于全资子公司终止与专业投资机构共同投资的公告 关于全资子公司终止与专业投资机构共同投资的公告 盐城智华将直接或间接投资于北京智谱华章科技有限公司（现已改名为：北京智谱华章科技股份有限公司,,https://static.cninfo.com.cn/finalpage/2025-08-09/1224440075.PDF,1224440075,SZZB,01010503||010112||011705,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2025-08-08_000681_视觉中国_1224440075_视觉中国：关于全资子公司终止与专业投资机构共同投资的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2025-08-08_000681_视觉中国_1224440075_视觉中国：关于全资子公司终止与专业投资机构共同投资的公告.txt,321211,2096,,智谱,likely_qian_initiative,1,1,0,1,1,1,0,0,"南智桥私募基金管理合伙企业（有限合伙） （以下简称 “海南智桥”）共同投资盐城智华创业投资基金合伙企业（有限合伙）（以下简称 “盐城智华”），担任有限合伙人。 本次投资后，盐城智华认缴出资总额为人民币 13,001 万元，华夏视觉认缴 出资额人民币 3,000 万元，占比 23.075%。盐城智华将直接或间接投资于北京智 谱华章科技有限公司（现已改名为：北京智谱华章科技股份有限公司）股权。具 体内容详见公司 2024 年 11 月 7 日刊登于《中国证券报》 《上海证券报》 《证券日 报》和巨潮资讯网的《视觉中国：关于全资子公司与专业投资机构共同投资的公 告》。 截至本公告日，华夏视觉未对盐城智华实际出资。 二、终止投资的情况说明 （一）终止原因 本次终止投资是公司对当前及未来整体发展战略的深度契合性与资源优化 配"
,,,,,,,,818,航锦科技,2024-01-26,航锦科技：关于子公司与紫光晓通签订战略合作框架协议的公告,关于子公司与紫光晓通签订战略合作框架协议的公告,priority_manual_event_candidate,7,大模型;大语言模型;语言大模型,broad_genai_recall;core_recall,大语言模型,,三方共同策划并执行市场宣传活动，包括发布会、研讨会、案例研究和白皮书，以展示产品在各种应用场景中的潜力和优势，如大语言模型,航锦科技：关于子公司与紫光晓通签订战略合作框架协议的公告 关于子公司与紫光晓通签订战略合作框架协议的公告 三方共同策划并执行市场宣传活动，包括发布会、研讨会、案例研究和白皮书，以展示产品在各种应用场景中,,https://static.cninfo.com.cn/finalpage/2024-01-27/1219010051.PDF,1219010051,SZZB,01010503||010112||011705,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2024-01-26_000818_航锦科技_1219010051_航锦科技：关于子公司与紫光晓通签订战略合作框架协议的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2024-01-26_000818_航锦科技_1219010051_航锦科技：关于子公司与紫光晓通签订战略合作框架协议的公告.txt,302259,3865,,大语言模型,likely_qian_initiative,1,1,0,1,1,1,0,0,推广 三方合作在市场宣传推广 NVIDIA 最新一代 GPU 产品集群、NVIDIA Mellanox IB 交换机、英伟达 BlueField-3 网络平台（NVIDIA BlueField-3 DPU）及其他 英伟达产品的先进性和竞争优势。三方共同策划并执行市场宣传活动，包括发布 会、研讨会、案例研究和白皮书，以展示产品在各种应用场景中的潜力和优势， 如大语言模型、大数据处理、深度学习等。通过市场活动提升目标市场的认知度， 突出航锦人工智能、超擎数智在智能算力领域的领先地位，并展望未来技术的发 展方向。 （5）业务赋能与科技服务合作 紫光晓通将利用其作为 NVIDIA 总代理的地位，整合其庞大的智算增值渠道 和客户资源，为航锦人工智能、超擎数智提供业务赋能支持。紫光晓通帮助航锦 人工智能、超擎数智扩大其在 AI 算力
,,,,,,,,925,众合科技,2023-05-15,众合科技：关于投资庆阳市时空大数据云中心项目的公告,关于投资庆阳市时空大数据云中心项目的公告,priority_manual_event_candidate,6,ChatGPT,core_recall,GPT;ChatGPT,,随着我国各地区、各行业数字化转型的深入推进，以及 1 月份以来 OpenAI、ChatGPT 引领的人工智能热潮影响,众合科技：关于投资庆阳市时空大数据云中心项目的公告 关于投资庆阳市时空大数据云中心项目的公告 随着我国各地区、各行业数字化转型的深入推进，以及 1 月份以来 OpenAI、Cha,,https://static.cninfo.com.cn/finalpage/2023-05-16/1216821932.PDF,1216821932,SZZB,01010503||010112||011705,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2023-05-15_000925_众合科技_1216821932_众合科技：关于投资庆阳市时空大数据云中心项目的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2023-05-15_000925_众合科技_1216821932_众合科技：关于投资庆阳市时空大数据云中心项目的公告.txt,472797,3989,,GPT;ChatGPT,likely_qian_initiative,1,1,0,1,1,1,0,0,重大资产重组。 二、项目基本情况 （一）行业情况 随着全球互联网的迅速发展，数据量的巨量增长，推动了全球数据中心行业 的发展。根据华经情报网的数据，2022 年我国数据中心行业市场规模预计达到 1900.7 亿元，同比增长 26.7%，预计 2023 年将增长至 2470 亿元。随着我国各地 区、各行业数字化转型的深入推进，以及 1 月份以来 OpenAI、ChatGPT 引领的人 工智能热潮影响，预计数据中心市场需求将呈井喷式增长，行业收入将保持持续 增长态势。 随着数据中心的高速发展，能耗快速增长成为数据中心产业发展中不可忽略 的问题。在此背景下，中国数据中心产业发展呈现一体化布局、绿色化发展、规 模化建设的特征。2021 年，国家发改委、中央网信办、工业和信息化部、国家能 源局联合印发《全国一体化大数据中心协同创新体系
,,,,,,,,1267,汇绿生态,2024-07-11,汇绿生态：关于与关联方共同投资设立海外子公司及孙公司的公告,关于与关联方共同投资设立海外子公司及孙公司的公告,priority_manual_event_candidate,7,AIGC,core_recall,AIGC,,经过十余年发展，公司光通信产品深入民用与军工领域，且随着下游云计算、AIGC、5G通讯等市场快速增长，,汇绿生态：关于与关联方共同投资设立海外子公司及孙公司的公告 关于与关联方共同投资设立海外子公司及孙公司的公告 经过十余年发展，公司光通信产品深入民用与军工领域，且随着下游云计算、AIGC、5,,https://static.cninfo.com.cn/finalpage/2024-07-12/1220615488.PDF,1220615488,SZZB,01010503||010112||011705,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2024-07-11_001267_汇绿生态_1220615488_汇绿生态：关于与关联方共同投资设立海外子公司及孙公司的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2024-07-11_001267_汇绿生态_1220615488_汇绿生态：关于与关联方共同投资设立海外子公司及孙公司的公告.txt,463424,5844,,AIGC,likely_qian_initiative,1,1,0,1,1,1,0,0,刘鹏 210.94 4.22% 合计 5000 100% （三）关联方业务简介 武汉钧恒 2012 年成立，总部位于武汉光谷，专业从事以光模块为主的光通 信产品的研发、制造和销售，是高新技术企业、湖北省专精特新企业。公司成立 之初主要从事军工领域光通信产品的研发与生产，具备专业军工资质。经过十余 年发展，公司光通信产品深入民用与军工领域，且随着下游云计算、AIGC、5G 通讯等市场快速增长，民用光模块已经成为公司盈利来源的主要产品。 公司民用光模块产品覆盖 10G 至 800G 速率，以适用短距离的多模产品为主， 广泛应用于 AI（人工智能）、HPC（高性能计算）、IDC（数据中心）、光纤通 信等领域。 （四）其他情况说明 武汉钧恒未被列为失信被执行人。 （五）关联关系说明 公司持有武汉钧恒 30%股权。公司董事严琦
,,,,,,,,1896,豫能控股,2026-02-10,豫能控股：关于筹划参股投资暨关联交易事项的提示性公告,关于筹划参股投资暨关联交易事项的提示性公告,priority_manual_event_candidate,7,大模型,broad_genai_recall,大模型,,2发展，人工智能、大模型等技术加速演进，算力产业已成为支撑数字时代创新的核心基础设施。,豫能控股：关于筹划参股投资暨关联交易事项的提示性公告 关于筹划参股投资暨关联交易事项的提示性公告 2发展，人工智能、大模型等技术加速演进，算力产业已成为支撑数字时代创新的核心基础设施。,,https://static.cninfo.com.cn/finalpage/2026-02-11/1224976187.PDF,1224976187,SZZB,01010503||010112||011719,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2026-02-10_001896_豫能控股_1224976187_豫能控股：关于筹划参股投资暨关联交易事项的提示性公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2026-02-10_001896_豫能控股_1224976187_豫能控股：关于筹划参股投资暨关联交易事项的提示性公告.txt,225795,5415,,大模型,likely_qian_initiative,1,1,0,1,1,1,0,0,圳证券交易所股票上市规则》《公司章程》 等规定，及时履行相关决策程序和信息披露义务。 一、交易情况概述 （一）交易背景及目的 《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》中提出， “适度超前建设新型基础设施，推进信息通信网络、全国一体化算力网、重大科 技基础设施等建设和集约高效利用”。近年来，新一轮科技革命和产业变革深入 1 发展，人工智能、大模型等技术加速演进，算力产业已成为支撑数字时代创新的 核心基础设施。 为响应国家战略，发挥国有能源上市公司的资源优势，延伸业务领域、推动 传统能源向新质生产力战略转型，基于对数据中心行业未来发展前景的战略研判 与价值认同，公司拟间接参股投资从事第三方超大规模数据中心（IDC）业务的 郑州合盈，积累相关行业经验，积极推动“电算协同”发展战略。 （二）本次交易的基本
,,,,,,,,2015,协鑫能科,2023-04-02,协鑫能科：关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告,关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告,priority_manual_event_candidate,7,大模型,broad_genai_recall,大模型,,公司已在安徽签约建设百亿规模的液冷超级智算中⼼，为国产大模型的研发训练、各行业领域的“AI+”产业智能化升级,协鑫能科：关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告 关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告 公司已在安徽签约建设百亿规模的液冷超级智算中⼼，为国产大模型的研发训练、各行业领域的“AI+”,,https://static.cninfo.com.cn/finalpage/2023-04-03/1216306546.PDF,1216306546,SZZB,01010503||010112||011705,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2023-04-02_002015_协鑫能科_1216306546_协鑫能科：关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2023-04-02_002015_协鑫能科_1216306546_协鑫能科：关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告.txt,669959,5515,,大模型,likely_qian_initiative,1,1,0,1,1,1,0,0,案。 公司主营GPU高性能算力基础设施的建设、算力输出与技术服务，拥有包括 IaaS、PaaS、MaaS 三大层面的完整技术平台，可为通用人工智能模型的训练和 推理、生命科学、影视渲染、区块链、云游戏、自动驾驶等各行业提供专业算力 服务。公司及控股子公司已申报受理知识产权专利106项，其中已授权59项。 公司已在安徽签约建设百亿规模的液冷超级智算中⼼，为国产大模型的研发 训练、各行业领域的“AI+”产业智能化升级，提供超⾼性价比的算⼒服务，目 前公司完整掌握单相浸没式液冷技术，以纯液冷 IDC 为硬件设施载体，核心优势 如下： （1）节能降耗：液冷技术可以有效降低数据中心的功耗比（PUE），达到1.05 以下，比传统空气冷却方式节省30%以上的能耗，同时减少碳排放。 （2）提高效率：液冷技术可以使服务器等设备在更高的
,,,,,,,,2039,黔源电力,2025-12-18,黔源电力：关于水电新能源领域典型场景人工智能技术研究与工程示范项目因采购形成关联交易的公告,关于水电新能源领域典型场景人工智能技术研究与工程示范项目因采购形成关联交易的公告,priority_manual_event_candidate,6,大模型,broad_genai_recall,大模型;基础大模型,,国电南自负责了“乌江水风光一体化智慧调度决策运营”项目的高质量数据集构建、基础大模型训练微调形成场景专业模型关键技术研究,黔源电力：关于水电新能源领域典型场景人工智能技术研究与工程示范项目因采购形成关联交易的公告 关于水电新能源领域典型场景人工智能技术研究与工程示范项目因采购形成关联交易的公告 国电南自负责了“乌江水风光一体化智慧调度决策运营”项目的高,,https://static.cninfo.com.cn/finalpage/2025-12-19/1224886214.PDF,1224886214,SZZB,01010503||010112||011719,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2025-12-18_002039_黔源电力_1224886214_黔源电力：关于水电新能源领域典型场景人工智能技术研究与工程示范项目因采购形成关联交易的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2025-12-18_002039_黔源电力_1224886214_黔源电力：关于水电新能源领域典型场景人工智能技术研究与工程示范项目因采购形成关联交易的公告.txt,174860,4763,,大模型;基础大模型,likely_qian_initiative,1,1,0,1,1,1,0,0,券交易所股票上市规则》等的有关规定，公司关联 董事杨焱先生、戴建炜先生、冯荣先生、龚兰高先生、王贵来先生回避了此项议 案的表决。现将有关情况公告如下： 一、关联交易概述 1.交易内容 （1）公司控股子公司贵州北盘江电力股份有限公司“水电新能源领域典型 场景人工智能技术研究与工程示范”（包含水电新能源调度运行智能体、“两江 一河”流域来水预测、高质量数据集支撑大模型训练）项目采用单一来源方式进 行采购，公司在履行相关程序后，确定国电南京自动化股份有限公司（以下简称 国电南自）为中标单位，国电南自为公司控股股东中国华电集团有限公司（以下 简称中国华电）的控股子公司，根据《深圳证券交易所股票上市规则》有关规定， 上述采购形成关联交易，关联交易金额为 2818 万元。 （2）公司及控股子公司贵州北盘江电力股份有限公司、贵州北 || （http://shixin.court.gov.cn/）等途径查询核实，以上关联方均不是失信被 执行人。 三、关联交易标的基本情况 1.项目名称：“水电新能源领域典型场景人工智能技术研究与工程示范”项 目 2.主要工作内容： （1）国电南自主要工作内容：主要研究内容涵盖水电新能源调度运行智能 体、“两江一河”流域来水预测，同时还研究构建了高质量数据集支撑大模型训 练等。 （2）华电电科院主要工作内容：主要研究内容涵盖水轮发电机组故障预警、 水电机组及光伏电站精细化检修关键技术等。 3.项目交货期：合同生效之日起至 2027 年 12 月，国电南自合同主要内容水 电新能源调度运行智能体、“两江一河”流域来水预测，同时还研究构建了高质 量数据集支撑大模型训练等；华电电科院合同主要内容水轮发电机组故障预警、 水电机组及 || 体、“两江一河”流域来水预测，同时还研究构建了高质量数据集支撑大模型训 练等。 （2）华电电科院主要工作内容：主要研究内容涵盖水轮发电机组故障预警、 水电机组及光伏电站精细化检修关键技术等。 3.项目交货期：合同生效之日起至 2027 年 12 月，国电南自合同主要内容水 电新能源调度运行智能体、“两江一河”流域来水预测，同时还研究构建了高质 量数据集支撑大模型训练等；华电电科院合同主要内容水轮发电机组故障预警、 水电机组及光伏电站精细化检修关键技术研究等。合同生效之日起至 2027 年 12 月，项目试运行结束并进行验收。 4.交易金额：国电南自 2818 万元，华电电科院 1162 万元，合计关联交易额 为 3980 万元。 四、交易的定价政策及定价依据 本次关联交易事项遵守了国家有关法律、法规和规范性文件的有 || 电科院签订关联交易协议，协议中主要工作事项详 见“三、关联交易标的基本情况”中的有关内容，协议的生效条件、生效时间、 支付方式、支付期限等内容具体以签订的合同为准。 六、交易目的和对上市公司的影响 1.“水电新能源领域典型场景人工智能技术研究与工程示范”项目设计研 发实施由国电南自和华电电科院共同负责，公司结合自身实际，针对业务痛点、 难点，充分运用人工智能大模型泛化性好、学习能力强等优势，通过人工智能与 典型业务场景融合，研究关键技术支撑水电新能源智能调度运行、机组精细化检 修、设备故障诊断并在工程上进行示范应用。在发挥人工智能技术在水电新能源 领域的研究与示范作用，优化水电新能源企业电力安全生产工作，通过人工智能 赋能安全生产和价值创造，推动科技创新成果加快转化为新质生产力。 2.因本项目涉及信息保密与信息安全， || 研究与示范作用，优化水电新能源企业电力安全生产工作，通过人工智能 赋能安全生产和价值创造，推动科技创新成果加快转化为新质生产力。 2.因本项目涉及信息保密与信息安全，同时从公司各系统的业务整合熟悉程 度，国电南自、华电电科院较外单位在数据接入和前期工作有较大优势，相关费 用明显降低。国电南自负责了“乌江水风光一体化智慧调度决策运营”项目的高 质量数据集构建、基础大模型训练微调形成场景专业模型关键技术研究，国电南 自在实施黔源电力人工智能项目研究中将有效降低技术研究开发成本。所以，从 数据接入的统筹性和经济性出发，本次关联交易主要委托国电南自、华电电科院 负责“水电新能源领域典型场景人工智能技术研究与工程示范”项目，包含水电 新能源调度运行智能体、“两江一河”流域来水预测、水轮发电机组故障预警、 水电机组及光伏电站精细化检 || 国电南 自在实施黔源电力人工智能项目研究中将有效降低技术研究开发成本。所以，从 数据接入的统筹性和经济性出发，本次关联交易主要委托国电南自、华电电科院 负责“水电新能源领域典型场景人工智能技术研究与工程示范”项目，包含水电 新能源调度运行智能体、“两江一河”流域来水预测、水轮发电机组故障预警、 水电机组及光伏电站精细化检修关键技术，研究构建了高质量数据集支撑大模型 训练等，通过人工智能技术与电力生产业务融合，保障机组设备运行安全，提高 机组检修、设备故障处理水平，提高流域梯级多种能源一体化经济运行水平，为 企业创造更大经济效益，促进行业扩新绿提质效，减少化石能源消耗，助力实现 “3060”目标。符合公司业务发展与生产经营的正常需要。 综上，本次关联交易为公司日常生产经营需要，预计对公司的财务状况及经 营成果影响较小，
,,,,,,,,2042,华孚时尚,2024-01-19,华孚时尚：关于签署三方战略合作协议的公告,关于签署三方战略合作协议的公告,priority_manual_event_candidate,6,大模型,broad_genai_recall,大模型,,（3）打造纺织服装行业自研大模型。,华孚时尚：关于签署三方战略合作协议的公告 关于签署三方战略合作协议的公告 （3）打造纺织服装行业自研大模型。,,https://static.cninfo.com.cn/finalpage/2024-01-20/1218956817.PDF,1218956817,SZZB,01010501||010112||012399,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2024-01-19_002042_华孚时尚_1218956817_华孚时尚：关于签署三方战略合作协议的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2024-01-19_002042_华孚时尚_1218956817_华孚时尚：关于签署三方战略合作协议的公告.txt,229283,2865,,大模型;行业大模型,likely_qian_initiative,1,1,0,1,1,1,0,1,苏 先行试点，促进和加速新疆人工智能产业高质量发展，为国家“一带一路”提供 信息化、数字化基础保障。 （2）助力新疆打造绿色、安全可靠的算力基础设施。推广应用绿色低碳技 术，提升数据中心绿电使用比例，增强绿色算力供给水平。推进算力和绿色电力 协同发展，形成跨地域、跨部门协同发展合力，推动构建普惠易用、绿色安全的 全疆一体化算力网。 （3）打造纺织服装行业自研大模型。以打造纺织服装行业自研大模型为目 标，构筑纺织服装智能制造协同服务平台，引导全疆纺织服装制造业企业上云， 汇聚全疆纺织服装制造业数据，形成算力、模型、数据的一体化联动体系，赋能 纺织服装产业发展与数据流通交易，加速纺织服装产业数字化转型。 甲方积极打造公平公正的营商环境，引导人工智能行业加快发展，加快推进 全疆算力“一张网”建设，融入全国一体化算力网络体系 || 工智能产业高质量发展，为国家“一带一路”提供 信息化、数字化基础保障。 （2）助力新疆打造绿色、安全可靠的算力基础设施。推广应用绿色低碳技 术，提升数据中心绿电使用比例，增强绿色算力供给水平。推进算力和绿色电力 协同发展，形成跨地域、跨部门协同发展合力，推动构建普惠易用、绿色安全的 全疆一体化算力网。 （3）打造纺织服装行业自研大模型。以打造纺织服装行业自研大模型为目 标，构筑纺织服装智能制造协同服务平台，引导全疆纺织服装制造业企业上云， 汇聚全疆纺织服装制造业数据，形成算力、模型、数据的一体化联动体系，赋能 纺织服装产业发展与数据流通交易，加速纺织服装产业数字化转型。 甲方积极打造公平公正的营商环境，引导人工智能行业加快发展，加快推进 全疆算力“一张网”建设，融入全国一体化算力网络体系，以政策引导算力电力 协同发展 || 力网络体系，以政策引导算力电力 协同发展，加快推进绿电在新建数据中心的占比，探索推进算力电力协同机制。 乙方聚焦阿克苏城市公共算力平台的建设、出资、推广以及算力中心业务运 营，负责牵引浙江、上海等算力需求大省与阿克苏“结对子”，实现数据和算力 互联互通。首期优先通过浙江、上海高校、国家实验室等算力需求填充阿克苏城 市公共算力平台，远期积极打造纺织服装行业自研大模型，实现自身产业升级， 并对外赋能。 丙方聚焦阿克苏公共算力平台软硬件设备供应，借助全国城市算力中心建设 经验，提供先进 AI 算力底座技术架构和产品与解决方案，支持阿克苏公共算力 平台的持续供应和产品迭代演进，提供公共算力平台运维技术支持服务，为孵化 纺织行业大模型提供技术支撑。 3、推进机制 （1）成立联合工作组，建立高层推进机制，三方建立常态化工作机制， || 通过浙江、上海高校、国家实验室等算力需求填充阿克苏城 市公共算力平台，远期积极打造纺织服装行业自研大模型，实现自身产业升级， 并对外赋能。 丙方聚焦阿克苏公共算力平台软硬件设备供应，借助全国城市算力中心建设 经验，提供先进 AI 算力底座技术架构和产品与解决方案，支持阿克苏公共算力 平台的持续供应和产品迭代演进，提供公共算力平台运维技术支持服务，为孵化 纺织行业大模型提供技术支撑。 3、推进机制 （1）成立联合工作组，建立高层推进机制，三方建立常态化工作机制，推 进战略合作分步实施落地。三方高层加强互访和沟通交流，定期协商解决合作中 的重大事项。 （2）三方共同制定推进计划和阶段性目标，不定期向自治区人民政府汇报。 4、其他 （1）本协议有效期为三年。期限届满前三方可协商续签事宜。 （2）本协议合作内容，仅反映三方合作意 || 产业，发展 新业”的战略主题，标志着“万卡集群”阿克苏城市公共算力平台项目正式启动， 阿克苏公共算力平台项目建成后将承接东部计算任务，为地方政府、国内高校、 国家实验室、关键基础设施行业以及企业客户提供 AI 算力服务与支持，并为“一 带一路”的算力需求提供有力保障。同时，公司将在战略合作方、产业链上下游 企业、科研院所的共同合作下，积极打造纺织服装行业自研大模型，深化垂直领 域行业应用，实现自身产业升级，并对外赋能。 五、其他事项 1、公司最近三年披露的框架协议的情况： 公司于 2023 年 5 月 31 日在《证券时报》、《中国证券报》和巨潮资讯网 (http://www.cninfo.com.cn) 上 披 露 了 《 关 于 签 署 战 略 合 作 协 议 的 公 告 》 （2023-30），交易对方为华电新
,,,,,,,,2117,东港股份,2024-11-21,东港股份：关于向控股子公司增资的公告,关于向控股子公司增资的公告,priority_manual_event_candidate,7,大模型,broad_genai_recall,大模型,,2023 年起，随着 AI技术的广泛应用，北京瑞宏开始对大模型、具身智能机器人及应用进行研发，并将原有业务领域向,东港股份：关于向控股子公司增资的公告 关于向控股子公司增资的公告 2023 年起，随着 AI技术的广泛应用，北京瑞宏开始对大模型、具身智能机器人及应用进行研发，并将原有业务领域向,,https://static.cninfo.com.cn/finalpage/2024-11-22/1221803036.PDF,1221803036,SZZB,01010503||010112||011705,ok,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/raw_pdf/2024-11-21_002117_东港股份_1221803036_东港股份：关于向控股子公司增资的公告.pdf,data/raw/cninfo_priority_pdf_audit_2023_2026_20260603/text/2024-11-21_002117_东港股份_1221803036_东港股份：关于向控股子公司增资的公告.txt,224287,2142,,大模型,likely_qian_initiative,1,1,0,1,1,1,0,0,发明专利、软件著作权， 2015 年参与国家 税务总局电税中心组织的电子发票技术规范编写工作，主导起草了关于第三方 电子发票服务平台管理与服务规范。所开发的电子票证类产品已形成电子发票 服务平台、非税电子票据服务平台、政务类电子证照服务等多个服务平台，在 区块链技术应用领域具有一定的市场和技术优势。 2023 年起，随着 AI 技术的广泛应用，北京瑞宏开始对大模型、具身智能 机器人及应用进行研发，并将原有业务领域向 AI 服务进行延伸，提高服务的科 技含量和技术附加值，并逐步利用 AI 技术替代原有的服务，使产品更加智能 化，服务更加具有针对性。北京瑞宏研发了一系列多样化的智能机器人产品， 如政务机器人、党建机器人、政务数字人、教育机器人等，部分项目已成功落 地，为客户提供了更加智能化和个性化的服务体验，从而提升客户
