manual_keep_qian_0_1,manual_exclusion_reason,manual_product_or_process,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_confidence_1_3,manual_notes,review_id,qian_auto_label,qian_auto_keep_candidate,qian_evidence_score,auto_exclusion_hint,in_v23_upstream_first,v23_upstream_supplier_links,v23_upstream_ar0_valid_rows,has_supplier_link,supplier_linked_unique_suppliers,supplier_linked_return_rows,event_id,focal_code,company_name,event_date,event_year,source_type,title,answer_terms,question_terms,has_strict_genai_company_text,has_strict_genai_question_text,question_only_trigger,negative_no_current_flag,boilerplate_attention_flag,positive_initiative_action_flag,product_or_workflow_flag,deployment_or_contract_flag,partner_or_customer_flag,numeric_or_timeline_flag,genai_context,question_text,source_url,local_text_file
,,,,,,,QIAN00001,keep_candidate_strong_specific_initiative,1,4,,0,0,0,1,7,7,CSMAR04188_601633_20230825,601633,长城汽车,2023-08-25,2023,csmar_investor_interaction,,ChatGPT;GPT;大模型,ChatGPT;GPT,1,1,0,0,0,1,1,0,0,1,您好，今年4月11日，毫末打造的自动驾驶生成式大模型 DriveGPT 雪湖·海若重磅发布，成为大模型技术落地自动驾驶新范式。 DriveGPT 雪湖·海若的底层模型采用GPT（Generative Pre-trained Transformer）生成式预训练大模型，与 ChatGPT 使用自然语言进行输入与输出不同，DriveGPT 雪湖·海若输入是感知融合后的文本序列，输出是自动驾驶场景文本序列，即将自动驾驶场景 Token 化，形成“Drive Language”，最终完成自车的决策规控、障碍物预测以及决策逻辑,请问公司自能驾驶有没有向chatgpt方向发展,,
,,,,,,,QIAN00002,keep_candidate_strong_specific_initiative,1,6,,0,0,0,1,7,7,CSMAR04759_601633_20231017,601633,长城汽车,2023-10-17,2023,csmar_investor_interaction,,GPT;多模态;多模态大模型;大模型;大语言模型;智能体,GPT;大模型,1,1,0,0,0,1,1,1,1,1,长城汽车是毫末智行的重要股东和客户，毫末智行是长城汽车在高级别辅助驾驶解决方案的主要合作伙伴。 长城生态中的毫末智行是中国量产自动驾驶龙头企业，率先于行业布局了大模型和超算中心。 在国内引领了自动驾驶技术大数据、大算力、大模型的发展方向，推出了中国首个数据智能体系“雪湖”、中国自动驾驶行业最大的智算中心“雪湖•绿洲”以及全球首个自动驾驶认知大模型Drive GPT。 在中国的自动驾驶公司中，毫末稳居中国量产自动驾驶第一名，辅助驾驶产品HPilot整体已搭载至超过20款车型，用户辅助驾驶行驶里程突破8700万公里。,豪未智行跟公司什么关系？ || 公司控股的毫末智行，曾发布全球首个自动驾驶生成式大模型 DriveGPT，请问这个跟特斯拉的大模型Dojo对比，有什么优势？,,
,,,,,,,QIAN00003,keep_candidate_strong_specific_initiative,1,4,,0,0,0,1,7,7,CSMAR09951_601728_20241125,601728,中国电信,2024-11-25,2024,csmar_investor_interaction,,MaaS;大模型,AIGC,1,1,0,0,0,1,1,0,1,0,尊敬的投资者，您好！ 中国电信积极响应国家战略，将科技创新作为高质量发展的关键，积极建设云智、训推一体、云网边端协同的分布式算力基础设施，构建从基础设施到生态平台的全链条算力服务体系，把握人工智能发展方向，研发具有千亿参数规模的星辰大模型矩阵，推出星辰MaaS生态服务平台，为加速数字化应用创新发展注智赋能。,公司在AIGC方面有布局吗？,,
,,,,,,,QIAN00004,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,7,7,CSMAR11836_000728_20250219,000728,,2025-02-19,2025,csmar_ir_meeting_qa,,DeepSeek;多模态;多模态大模型;大模型;星火大模型;讯飞星火;通义;通义千问,,1,0,0,0,0,1,1,0,1,1,在AI布局方面，公司制定了人工智能发展规划，目前即将建成基于华为昇腾架构的智能算力平台，总容量约20P算力，为公司AI发展奠定基础。 依托该平台，公司构建“一超多强”本地多模态大模型服务体系，以讯飞星火大模型为核心，引入DeepSeek、通义千问等开源大模型协同服务，支持文字、图像、语音等人工智能能力，助力业务智能化升级。 2024年，公司已成功上线“融汇”（AI+投研）、“燎元智能助手”（AI+中后台）、“投行大模型”（AI+投行）等大模型应用。 部分应用在实际业务中发挥了显著作用，提升了工作效率和服务质量。,公司在AI方面目前有什么布局，是否会增加科技研发投入？ || 公司如何看待25年及以后股权融资节奏及投行发展趋势？在投行业务方面是否会做相应优化？,,
,,,,,,,QIAN00005,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,7,7,CSMAR14616_000728_20250430,000728,,2025-04-30,2025,csmar_ir_meeting_qa,,DeepSeek;多模态;多模态大模型;大模型;星火大模型;讯飞星火;通义;通义千问,大模型,1,1,0,0,0,1,1,0,1,1,尊敬的投资者，您好。 2024年，公司构建“一超多强”本地多模态大模型服务体系，以讯飞星火大模型为核心，引入DeepSeek、通义千问等开源大模型协同服务，支持文字、图像、语音等人工智能能力，助力业务智能化升级。 公司已成功上线“融汇”（AI+投研）、“燎元智能助手”（AI+中后台）、“投行大模型”（AI+投行）等大模型应用，部分应用在实际业务中发挥了显著作用，提升了工作效率和服务质量。 例如，“燎元智能助手”借助深度求索（DeepSeek）最新发布的推理大模型DeepSeek-R1，实现了更精准的语义理解与多轮对话能力,AI技术的革新带来哪些业务模式变化？目前大模型在公司内部以及对客端的应用如何，未来公司的规划如何？,,
,,,,,,,QIAN00006,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,7,7,CSMAR15748_000728_20250703,000728,,2025-07-03,2025,csmar_ir_meeting_qa,,DeepSeek;大模型,,1,0,0,0,0,1,1,0,1,1,国元证券金融科技创新实验室成立于2021年12月，实验室以技术驱动业务转型为核心目标，以业务实际需求为工作导向，联合内外部联盟单位开展前沿技术在金融证券领域的课题研究，并配合业务部门实现课题成果落地转化。 实验室成立至今，先后探索了人工智能在资产配置中的应用、基于隐私计算的客户运营体系、国债期货高频量化交易及反洗钱智能甄别算法、投行大模型等业技融合场景，并形成系统性成果，显著赋能公司相关业务发展。 实验室研究课题荣获中国人民银行“2023年度金融科技发展奖三等奖”、“2024年证券期货业标准化研究优秀课题”、中国上市公,我们注意到公司设立了金融科技创新实验室，请问主要是开展哪些业务，目前对业务赋能情况如何？,,
,,,,,,,QIAN00007,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,7,7,CSMAR16913_000728_20250915,000728,,2025-09-15,2025,csmar_ir_meeting_qa,,大模型,,1,0,0,0,0,1,1,0,1,1,创新顶层设计方面，国元证券相关负责人表示，公司通过制订“5类用户+4新理念+3个驱动”的数字金融三层框架，将“数据资源、创新科技和组织治理”作为3个驱动力，以“新运营、新服务、新管理和新工具”作为4个新理念，服务“客户、决策层、业务部门、职能部门、生态伙伴”5类客户，形成一个完整、有机的框架体系，持续推进数字化转型。 智能算力平台建设方面，国元证券顺应大模型应用带来新一轮科技创新的机遇，投入建设总,在数字金融战略推进过程中，贵公司有哪些具体举措？是否在经营或业务层面实现了成效？,,
,,,,,,,QIAN00008,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,7,7,CSMAR16970_601728_20250917,601728,中国电信,2025-09-17,2025,csmar_investor_interaction,,DeepSeek;大模型,DeepSeek,1,1,0,0,0,1,1,1,0,1,尊敬的投资者您好！ 2025年2月，中国电信天翼云自主研发的“息壤”一体化智算平台完成了DeepSeek-R1/V3系列大模型的适配优化，成为国内首家实现DeepSeek模型全栈国产化推理服务落地的运营商级云平台，并正式推出息壤智算一体机-DeepSeek版。 目前，已成功应用于企业智能客服、政务便民热线、医疗问诊、教育科研等众多领域。,董秘您好！请问贵公司是否已经部署了DeepSeek？如果已经部署了，请问主要应用于哪些具体的业务？公司接入DeepSeek有哪些成本、收益方面的考量？如果公司计划在未来再进行部署，计划将DeepSeek应用于什么具体的业务呢？我们投资者非常期待您的回复，谢谢！,,
,,,,,,,QIAN00009,review_possible_specific_initiative,1,3,,0,0,0,1,7,7,CSMAR18130_601728_20251204,601728,,2025-12-04,2025,csmar_ir_meeting_qa,,MaaS;多模态;多模态大模型;大模型;智能体,,1,0,0,0,0,1,1,0,0,0,公司将重点围绕以下几个方向持续挖掘战新业务价值：1、全面拥抱下一代人工智能：公司已将人工智能提升至战略核心位置，坚持从自身生产经营核心环节做起，推动 AI从简单“+AI”向“AI+”转变，通过规模化应用和应用深度提升，重塑服务、营销、运营、研发等核心流程； 同时加快人工智能能力对外输出，持续推进“AI+”行动，围绕行业需求打造行业大模型和智能体应用，推动人工智能在更多生产场景中实现规模化落地，赋能千行百业智能化升级。,近年来，公司产业数字化业务发展不断取得突破，未来计划采取哪些措施进一步释放战新业务价值？ || 公司上半年提出构建智能云体系，目前取得了什么新的进展？,,
,,,,,,,QIAN00010,keep_candidate_strong_specific_initiative,1,6,,0,0,0,1,6,6,CSMAR05784_601633_20240102,601633,长城汽车,2024-01-02,2024,csmar_investor_interaction,,GPT;大模型;智能体,GPT,1,1,0,0,0,1,1,1,1,1,您好，长城汽车是毫末智行的重要股东和客户，毫末智行是长城汽车在高级别辅助驾驶解决方案的主要合作伙伴。 长城生态中的毫末智行是中国量产自动驾驶龙头企业，率先于行业布局了大模型和超算中心。 在国内引领了自动驾驶技术大数据、大算力、大模型的发展方向，推出了中国首个数据智能体系“雪湖”、中国自动驾驶行业最大的智算中心“雪湖•绿洲”以及全球首个自动驾驶认知大模型Drive GPT。 在中国的自动驾驶公司中，毫末稳居中国量产自动驾驶第一名，辅助驾驶产品HPilot整体已搭载至超过20款车型，谢谢。,请问毫末智行的DriveGPT除了长城汽车使用之外，还有哪些车企客户使用毫末智行的方案,,
