source_type,qian_auto_label,n
csmar_investor_interaction,keep_candidate_strong_specific_initiative,5742
csmar_investor_interaction,exclude_denial_no_current_business,2674
csmar_investor_interaction,review_possible_specific_initiative,2518
csmar_investor_interaction,review_ambiguous_strict_genai,1177
csmar_investor_interaction,exclude_boilerplate_attention_only,1006
csmar_investor_interaction,exclude_generic_or_legacy_ai_only,61
csmar_investor_interaction,exclude_question_only_trigger,29
csmar_investor_interaction,exclude_no_strict_genai,15
csmar_investor_interaction;csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,191
csmar_investor_interaction;csmar_ir_meeting_qa,review_possible_specific_initiative,33
csmar_investor_interaction;csmar_ir_meeting_qa,exclude_boilerplate_attention_only,15
csmar_investor_interaction;csmar_ir_meeting_qa,exclude_denial_no_current_business,15
csmar_investor_interaction;csmar_ir_meeting_qa,review_ambiguous_strict_genai,8
csmar_investor_interaction;csmar_ir_meeting_qa,exclude_generic_or_legacy_ai_only,1
csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,3085
csmar_ir_meeting_qa,review_ambiguous_strict_genai,1383
csmar_ir_meeting_qa,review_possible_specific_initiative,1029
csmar_ir_meeting_qa,exclude_boilerplate_attention_only,635
csmar_ir_meeting_qa,exclude_denial_no_current_business,505
csmar_ir_meeting_qa,exclude_generic_or_legacy_ai_only,29
csmar_ir_meeting_qa,exclude_no_strict_genai,8
csmar_ir_meeting_qa,exclude_question_only_trigger,6
formal_cninfo_announcement,keep_candidate_strong_specific_initiative,17
formal_cninfo_announcement,exclude_denial_no_current_business,2
formal_cninfo_announcement,exclude_generic_or_legacy_ai_only,1
supplemental_irqa_answer,keep_candidate_strong_specific_initiative,494
supplemental_irqa_answer,review_possible_specific_initiative,167
supplemental_irqa_answer,review_ambiguous_strict_genai,166
supplemental_irqa_answer,exclude_denial_no_current_business,100
supplemental_irqa_answer,exclude_boilerplate_attention_only,65
