manual_keep_qian_0_1,manual_exclusion_reason,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_event_date_corrected,manual_initiative_type,manual_confidence_1_3,manual_notes,sec_code,sec_name,announcement_date,announcement_title,short_title,candidate_tier,qian_recall_score,query_terms,query_tiers,matched_genai_terms,title_exclusion_reason,announcement_content,action_snippet,denial_snippet,pdf_url,announcement_id,page_column,announcement_type
,,,,,,,,000001,平安银行,2024-03-14,平安银行：2023年社会责任报告,2023年社会责任报告,strict_genai_context_without_action,3,ChatGPT;大模型;智谱;模型备案;混元大模型,broad_genai_recall;core_recall;named_model;registry_recall,GPT;ChatGPT,esg_or_internal_control_report,名中高级干部开展培训，课程紧贴国内外发展大势和国际重点关注的焦点问题，涵盖资本市场与实体经济发展、人工智能与ChatGPT,,,https://static.cninfo.com.cn/finalpage/2024-03-15/1219306480.PDF,1219306480,SZZB,01010503||010112||012330
,,,,,,,,000002,万 科Ａ,2024-03-28,万科A：2023年社会责任报告,2023年社会责任报告,backfill_or_noisy_doc_with_action,5,大模型;大语言模型;模型备案;混元大模型;语言大模型,broad_genai_recall;core_recall;registry_recall,大模型;行业大模型,esg_or_internal_control_report,2023 年，万物云首个物业行业大模型应用“天秤业委工作台”上线。,万科A：2023年社会责任报告 2023年社会责任报告 2023 年，万物云首个物业行业大模型应用“天秤业委工作台”上线。,,https://static.cninfo.com.cn/finalpage/2024-03-29/1219444702.PDF,1219444702,SZZB,01010503||010112||012330
,,,,,,,,000004,国华网安,2024-04-29,国华网安：2023年年度报告,2023年年度报告,backfill_or_noisy_doc_with_action,5,ChatGPT;大模型;大语言模型;智谱;模型备案;混元大模型;生成式AI;语言大模型,broad_genai_recall;core_recall;named_model;registry_recall,GPT;ChatGPT,periodic_report,3、人工智能重塑网络安全行业 2022 年底 ChatGPT 横空出世，受到 ChatGPT 应用场景多元化的启发,国华网安：2023年年度报告 2023年年度报告 3、人工智能重塑网络安全行业 2022 年底 ChatGPT 横空出世，受到 ChatGPT 应用场景多元化的启发,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219957415.PDF,1219957415,SZZB,01010503||010112||010301
,,,,,,,,000006,深振业Ａ,2025-04-25,深振业Ａ：内部控制自我评价报告,内部控制自我评价报告,backfill_or_noisy_doc_with_action,5,AIGC,core_recall,AIGC,esg_or_internal_control_report,积极开展保障房产品标准化、改善型产品线研发，持续完善设计管理标准化文件，并尝试引入AI科技前沿技术-AIGC,深振业Ａ：内部控制自我评价报告 内部控制自我评价报告 积极开展保障房产品标准化、改善型产品线研发，持续完善设计管理标准化文件，并尝试引入AI科技前沿技术-AIGC,,https://static.cninfo.com.cn/finalpage/2025-04-26/1223309142.PDF,1223309142,SZZB,01010503||010112||012399
,,,,,,,,000008,神州高铁,2025-04-18,神州高铁：神州高铁2024年度可持续发展（ESG）报告,神州高铁2024年度可持续发展（ESG）报告,backfill_or_noisy_doc_with_action,5,大模型;盘古大模型,broad_genai_recall;named_model,大模型;盘古大模型,esg_or_internal_control_report,召开神州高铁首届科技创新工作会议，会议邀请了行业专家分别就轨道交通智慧运维及数字化转型、低空经济以及 华为盘古大模型在轨道交通运维中的应用等进行了专题分享和交流,可持续发展（ESG）报告 召开神州高铁首届科技创新工作会议，会议邀请了行业专家分别就轨道交通智慧运维及数字化转型、低空经济以及 华为盘古大模型在轨道交通运维中的应用等进行了专题分享和交流,,https://static.cninfo.com.cn/finalpage/2025-04-19/1223150101.PDF,1223150101,SZZB,01010503||010112||012330
,,,,,,,,000016,深康佳Ａ,2024-04-01,深康佳Ａ：2023年度董事局工作报告,2023年度董事局工作报告,strict_genai_context_without_action,5,大模型;混元大模型,broad_genai_recall,大模型;AI大模型,,彩电业务拟将画质、音质等传统 7 技术与 Mini/Micro LED 新型显示、5G、8K、人工智能、AI大模型,,,https://static.cninfo.com.cn/finalpage/2024-04-02/1219494203.PDF,1219494203,SZZB,01010503||010112||012399
,,,,,,,,000021,深科技,2023-08-29,深科技：2023年半年度报告,2023年半年度报告,backfill_or_noisy_doc_with_action,6,ChatGPT;模型备案;混元大模型;生成式AI,broad_genai_recall;core_recall;registry_recall,GPT;生成式AI;ChatGPT,periodic_report,2023年，以ChatGPT为代表的生成式AI掀起人工智能热潮，AI+多场景应用将进一步拓展与深入。,深科技：2023年半年度报告 2023年半年度报告 2023年，以ChatGPT为代表的生成式AI掀起人工智能热潮，AI+多场景应用将进一步拓展与深入。,,https://static.cninfo.com.cn/finalpage/2023-08-30/1217690596.PDF,1217690596,SZZB,01010503||010112||010303
,,,,,,,,000027,深圳能源,2025-08-27,深圳能源：2025年半年度报告摘要,2025年半年度报告摘要,backfill_or_noisy_doc_with_action,5,大模型;模型备案,broad_genai_recall;registry_recall,大模型,periodic_report,项数智化建设及服务项目，深化管理数字化、产业数字化水平；深入推进“人工智能+能源”工作，与华为联合研发了新能源功率预测大模型,深圳能源：2025年半年度报告摘要 2025年半年度报告摘要 项数智化建设及服务项目，深化管理数字化、产业数字化水平；深入推进“人工智能+能源”工作，与华为联合研发了新能源功率预测大模型,,https://static.cninfo.com.cn/finalpage/2025-08-28/1224599440.PDF,1224599440,SZZB,01010503||010112||010303
,,,,,,,,000028,国药一致,2023-08-28,国药一致：2023年半年度报告,2023年半年度报告,strict_genai_context_without_action,3,ChatGPT;大模型;混元大模型,broad_genai_recall;core_recall,GPT;ChatGPT,periodic_report,同时，互联网技术飞速发展，包括 ChatGPT等人工智能高新技术可能对行业产生颠覆性影响。,,,https://static.cninfo.com.cn/finalpage/2023-08-29/1217680176.PDF,1217680176,SZZB,01010503||010112||010303
,,,,,,,,000030,富奥股份,2025-04-17,富奥股份：2024环境、社会及治理（ESG）报告,2024环境、社会及治理（ESG）报告,backfill_or_noisy_doc_with_action,5,大模型;大语言模型;语言大模型,broad_genai_recall;core_recall,大模型;语言大模型,esg_or_internal_control_report,智能座舱：集成先进车载电子技术，提供高精度触控，支持 AI 多模态语言大模型，打造安全、舒适、智能的驾乘体验,富奥股份：2024环境、社会及治理（ESG）报告 2024环境、社会及治理（ESG）报告 智能座舱：集成先进车载电子技术，提供高精度触控，支持 AI 多模态语言大模型，打造安全、舒适、智能的驾乘体验,,https://static.cninfo.com.cn/finalpage/2025-04-18/1223124936.PDF,1223124936,SZZB,01010503||010112||012330
