manual_keep_qian_0_1,manual_exclusion_reason,manual_product_or_process,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_confidence_1_3,manual_notes,review_id,qian_auto_label,qian_auto_keep_candidate,qian_evidence_score,auto_exclusion_hint,in_v23_upstream_first,v23_upstream_supplier_links,v23_upstream_ar0_valid_rows,has_supplier_link,supplier_linked_unique_suppliers,supplier_linked_return_rows,event_id,focal_code,company_name,event_date,event_year,source_type,title,answer_terms,question_terms,has_strict_genai_company_text,has_strict_genai_question_text,question_only_trigger,negative_no_current_flag,boilerplate_attention_flag,positive_initiative_action_flag,product_or_workflow_flag,deployment_or_contract_flag,partner_or_customer_flag,numeric_or_timeline_flag,genai_context,question_text,source_url,local_text_file
,,,,,,,QIAN00001,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,1,1,CSMAR00010_002230_20230111,002230,科大讯飞,2023-01-11,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT;预训练模型,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,1,1,您好，讯飞语音合成、虚拟人相关技术等都属于AIGC，同时讯飞也积极布局基于预训练模型的文图生成、对话生成等技术方向，相关技术均达到业界领先水平，并通过AI虚拟人交互平台在媒体、金融、教育、文旅等领域赋能内容生产创作和业务服务。 同时自动化的内容生成，将会为未来元宇宙的海量内容生产做好技术基础。 ChatGPT主要涉及到自然语言处理相关技术，属于认知智能领域的应用之一。 科大讯飞主导承建了认知智能国家重点实验室，在认知智能领域重点技术和以教育、医疗为代表的重大行业应用落地效果整体处于业界领先水平，例如，科大讯飞于2022年,您好！现在AIGC赛道这么火，科大讯飞在NLP领域是否有新的突破，怎么看科大讯飞的语义技术能力与现在全球关注度很高，热议的chatGPT？,,
,,,,,,,QIAN00002,keep_candidate_strong_specific_initiative,1,5,,1,1,1,1,1,1,CSMAR00021_688327_20230130,688327,云从科技,2023-01-30,2023,csmar_investor_interaction;csmar_ir_meeting_qa,,AIGC;ChatGPT;GPT;大模型,AIGC;ChatGPT;GPT;大模型,1,1,0,0,0,1,1,0,1,1,尊敬的投资者，您好！ 随着OpenAI超级对话模型ChatGPT的发布，业界已经广泛感受到预训练大模型给AI行业带来的巨大机会。 首先，ChatGPT将“预训练大模型+下游任务微调”的训练方法发挥到了天花板级的水准，模型效果较过去有了跨越式的进步，作为一个超级对话模型，ChatGPT对用户意图的理解、应答的正确性，异常情况下的反应，体验都显著超出了大家的预期，给AI应用带来新的想象空间； 其次，ChatGPT的跨越式效果提升，主要得益于人机协同，即基于人类反馈的强化学习（RLHF），同时ChatGPT会给未来的人机交互体 || 核心算法方面--长期以来有两个流派：数据派（需要更多的数据来训练更大的模型）与知识派（加入人类知识，通过知识建立规则，向专家系统发展）。 随着Deep Learning的发展，即2006年开始，数据派占优，大量数据会支撑模型优化，在计算机视觉上有突破性进展。 2016年的代表Alpha Go带动资本浪潮，在AlphaGo时代，围棋上的成功并不能带来很大现实应用，而ChatGPT带来的重要推进，是其现实应用更多，类似助理。 （2）ChatGPT使用的模型与2年前发布的GPT3底层数据和参数规模一致，ChatGPT没有进一步,近期，微软追加投资100亿给OpenAI，BuzzFeed因使用ChatGPT大涨超过100%，贵司是否在中国版ChatGPT或大模型方面有技术储备或产品规划？它与人机协同操作系统是否有关联？ || 请分享下AI的发展历程？AI行业发展到现在的ChatGPT与AIGC，整个行业是不是到了高速发展的革命节点？ || 从训练的数据集、模型的体量来看，国内达到ChatGPT，包括模型能力、数据能力以及标注能力，2年之内有没有可能形成对标ChatGTP的类似产品？ || GPT3.0和GPT3.5的差别很大，对于知识点的回应比较全面， GPT3.5距离通用型人工,,
,,,,,,,QIAN00003,review_possible_specific_initiative,1,3,,1,1,1,1,1,1,CSMAR00337_002777_20230208,002777,久远银海,2023-02-08,2023,csmar_investor_interaction,,AIGC;GPT,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,尊敬的投资者您好！ 公司业务目前未涉及AIGC。 谢谢！ || 尊敬的投资者您好！ GPT作为一个前沿探索，公司在持续跟进其技术发展和行业应用前景。,请问公司有AIGC相关应用或技术储备吗？ || 你好，公司涉及ChatGPT吗？,,
,,,,,,,QIAN00004,keep_candidate_strong_specific_initiative,1,5,,1,1,0,1,1,1,CSMAR00384_000409_20230209,000409,云鼎科技,2023-02-09,2023,csmar_investor_interaction,,AIGC;大模型,AIGC,1,1,0,0,0,1,1,0,1,1,公司与华为公司以能源行业产业数字化和数字产业化发展为突破口，充分整合发挥各自业务及技术创新优势，协同推动物联网、大数据、人工智能、区块链、5G等新一代信息技术在全要素、全产业链、全价值链中的深度融合。 在人工智能领域展开全面合作，围绕人工智能训练中心、大模型、智能矿山AI样板点打造等方面进行合作与研发。 || 您好！,你好！请问贵公司与华为在人工智能领域有哪些合作和研发？ || 你好！请问贵公司在AI和VR方面，矿山可视化方面有哪些应用？是否采用新一代人工智能AIGC人机通信交换技术？,,
,,,,,,,QIAN00005,keep_candidate_strong_specific_initiative,1,4,,1,2,2,1,2,2,CSMAR00385_000719_20230209,000719,中原传媒,2023-02-09,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,公司是一家出版企业，内容服务、知识服务是公司的核心业务。 公司注意到了您所说的ChatGPT，这是一款由OpenAI开发的消费级别的强人工智能应用，可以完成撰写邮件、代码、文案、作业、翻译等任务。 从知识服务的角度看，ChatGPT开辟了内容服务、知识服务新境界，与公司的价值追求高度匹配、契合度极高。 公司会持续高度关注，谢谢！,请问贵公司有在chatGPT方向布局嘛？,,
,,,,,,,QIAN00006,keep_candidate_strong_specific_initiative,1,4,,0,0,0,1,1,1,CSMAR00392_002261_20230209,002261,拓维信息,2023-02-09,2023,csmar_investor_interaction,,AIGC,,1,0,0,0,0,1,1,1,0,0,您好，兆瀚RA5900系列是基于鲲鹏处理器和昇腾处理器的AI训练服务器，主要应用于深度学习模型开发和训练，具有高计算密度、高能效比等优点，可以运用在AIGC、算力中心、数据中心等场景使用，目前已应用于长沙人工智能创新中心、重庆人工智能创新中心、全国一体化算力网络国家（贵州）主枢纽中心等项目中。,董秘您好，请问旗下湘江鲲鹏创新推出兆瀚RA5900系列是否AI训练服务器？可以运用于人工智能的哪些方面？目前有哪些客户采购了吗？谢谢。,,
,,,,,,,QIAN00007,keep_candidate_strong_specific_initiative,1,5,,1,1,1,1,1,1,CSMAR00440_002045_20230210,002045,国光电器,2023-02-10,2023,csmar_investor_interaction,,ChatGPT;GPT;文心一言;生成式AI,ChatGPT;GPT;文心一言,1,1,0,0,0,1,1,1,1,0,公司是全球众多顶级品牌和国内主流品牌如百度等智能语音交互产品的供应商。 公司产品能应用于多个领域及场景，如智能音箱、车载智能机器人等，公司期望chatGPT及文心一言等生成式AI产品的发展能够开启交互性智能产品新的发展浪潮，进而为公司音响电声事业带来新的发展机遇。 || AI+IOT是公司重点发展方向。 公司产品能应用于多个领域及场景，如智能音箱、车载智能机器人等，公司期望chatGPT及文心一言等生成式AI产品的发展,请问贵公司有没有涉及chatgpt业务 || 董秘您好，贵司除了目前代工的VR产品品牌，还在拓展其他客户吗，是否与三星、苹果等厂商洽谈？目前产品是否具备CHATGPT功能？ || 国光电器为中国税务总局定制的智能服务机器人“税宝”，在广州营业已经接近两年时间了，反映良好。AI+IOT是公司将来重点发展方向，是正宗的ChatGPT概念对吗？,,
,,,,,,,QIAN00008,review_possible_specific_initiative,1,3,,0,0,0,1,2,2,CSMAR00474_300168_20230210,300168,万达信息,2023-02-10,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,您好，感谢您对万达信息的关注。 公司密切关注和研究ChatGPT等AIGC技术和产品，并探索其应用场景。 万达信息一直注重人工智能、大数据、云计算、移动互联网、物联网、区块链、元宇宙等新一代信息技术与行业的深入融合。,请问公司有chatGPT类似的业务布局或者推进计划吗？,,
,,,,,,,QIAN00009,review_possible_specific_initiative,1,3,,1,1,1,1,1,1,CSMAR00531_000070_20230213,000070,特发信息,2023-02-13,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,公司没有chatgpt的技术储备。 我司参与建设了鹏城云脑二期项目、中原（许昌）人工智能算力中心等人工智能算力基础设施项目，上述项目及自营的两个数据中心均可为ChatGpt提供算力和存储基础服务。 谢谢关注！ || 我司参与建设了鹏城云脑二期项目、中原（许昌）人工智能算力中心等人工智能算力基础设施项目，上述项目及自营的两个数据中心均可为ChatGpt提供算力和存储基础服务。,尊敬的董秘，您好，请问贵公司是否拥有chatgpt的技术储备？ || 您好，董秘，公司业务是否与ChatGpt概念有关联，请简单说明一下,,
,,,,,,,QIAN00010,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,1,1,CSMAR00873_300253_20230222,300253,卫宁健康,2023-02-22,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,1,公司一直在关注和探索包括自然语言处理技术在内的人工智能技术在医疗领域的应用，并且与多家医疗机构保持着密切合作。 目前我们确实收到了一些客户的咨询和合作请求，希望能够利用我们多年来的技术和经验联合研发基于ChatGPT技术的应用。 不久之前，我们刚与一家三甲医院客户合作开发胸片报告自动生成系统，同时发表在JAMA Network Open（详见公司公众号2月13日相关介绍）。,董秘您好！ChatGPT这类技术已经引起巨大关注，一些医院正在利用类似的人工智能技术搭建模型，以支持院内的医疗、教育和科研工作。比如上海华山医院正在联合第三方的技术公司，搭建服务于医疗系统的大数据训练模型，目前正在讨论可落地的应用场景。请问是否已经有客户要求公司联合搭建？,,
