manual_keep_qian_0_1,manual_exclusion_reason,manual_product_or_process,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_confidence_1_3,manual_notes,review_id,qian_auto_label,qian_auto_keep_candidate,qian_evidence_score,auto_exclusion_hint,in_v23_upstream_first,v23_upstream_supplier_links,v23_upstream_ar0_valid_rows,has_supplier_link,supplier_linked_unique_suppliers,supplier_linked_return_rows,event_id,focal_code,company_name,event_date,event_year,source_type,title,answer_terms,question_terms,has_strict_genai_company_text,has_strict_genai_question_text,question_only_trigger,negative_no_current_flag,boilerplate_attention_flag,positive_initiative_action_flag,product_or_workflow_flag,deployment_or_contract_flag,partner_or_customer_flag,numeric_or_timeline_flag,genai_context,question_text,source_url,local_text_file
,,,,,,,QIAN00001,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00004_300520_20230104,300520,科大国创,2023-01-04,2023,csmar_investor_interaction,,AIGC,AIGC,1,1,0,0,0,1,1,0,1,0,您好，感谢关注。 公司自主研发的智能外呼机器人系统，采用纯软架构设计，基于AIGC技术，结合业务话术以及知识计算，进行语义理解与意图识别，智能自动生成交互内容。 机器人使用电话渠道自动呼叫指定客户，智能语音自动应答沟通，实现企业通知类、回访类、营销类等业务智能化开展，助力企业数智化转型。,贵司在人机交互领域有智能机器人外呼系统，该系统是否使用了AIGC技术？谢谢。,,
,,,,,,,QIAN00002,keep_candidate_strong_specific_initiative,1,5,,0,0,0,1,1,1,CSMAR00010_002230_20230111,002230,科大讯飞,2023-01-11,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT;预训练模型,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,1,1,您好，讯飞语音合成、虚拟人相关技术等都属于AIGC，同时讯飞也积极布局基于预训练模型的文图生成、对话生成等技术方向，相关技术均达到业界领先水平，并通过AI虚拟人交互平台在媒体、金融、教育、文旅等领域赋能内容生产创作和业务服务。 同时自动化的内容生成，将会为未来元宇宙的海量内容生产做好技术基础。 ChatGPT主要涉及到自然语言处理相关技术，属于认知智能领域的应用之一。 科大讯飞主导承建了认知智能国家重点实验室，在认知智能领域重点技术和以教育、医疗为代表的重大行业应用落地效果整体处于业界领先水平，例如，科大讯飞于2022年,您好！现在AIGC赛道这么火，科大讯飞在NLP领域是否有新的突破，怎么看科大讯飞的语义技术能力与现在全球关注度很高，热议的chatGPT？,,
,,,,,,,QIAN00003,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00012_300133_20230113,300133,华策影视,2023-01-13,2023,csmar_investor_interaction,,AIGC,AIGC,1,1,0,0,0,1,1,0,1,0,您好，AIGC新技术正在不断赋能文化产业，促使文化产业业态的创新力度不断加强。 公司也在密切关注新技术对影视剧创作的辅助作用和在行业的应用，目前公司一些项目上有合作的美术老师在尝试使用AIGC。 谢谢。 || 您好，AIGC新技术正在不断赋能文化产业，促使文化产业业态的创新力度不断加强。 公司也在密切关注新技术对影视剧,董秘你好，请问公司在内容二次创作上是否应用了aigc技术生成供应短视频与公司自身主营业务创作 || 董秘你好，请问AIGC技术在剧本创作，影视内容创作，基于内容数据库自动生成新内容，基于素材库，数据库，版权库，生成新素材，新动态视频内容是否可行 || 董秘你好，请问AIGC技术公司是否已应用,,
,,,,,,,QIAN00004,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00013_300364_20230113,300364,中文在线,2023-01-13,2023,csmar_investor_interaction,,AIGC,,1,0,0,0,0,1,0,0,1,0,尊敬的投资者，您好：公司正发起设立下一代互联网科技发展基金，持续贯彻既定战略，与市场中的各类主体和资源充分合作，在元宇宙领域内的内容、区块链、VR、AR、AIGC等等方向进行布局。,成立中文在线（青岛）科技投资合伙企业（有限合伙），目前有投资什么行业吗？,,
,,,,,,,QIAN00005,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00019_002717_20230130,002717,岭南股份,2023-01-30,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,尊敬的投资者，您好。 ChatGPT是人机交互技术之一，恒润集团在人机交互方面拥有多项技术储备及成功应用案例，并将持续加大资源投入。 感谢您对公司的关注。 || 尊敬的投资者，您好。,董秘你好，恒润集团在ChatGPT的技术储备如何？ || ChatGPT技术目前恒润集团的发展如何？谢谢,,
,,,,,,,QIAN00006,keep_candidate_strong_specific_initiative,1,5,,1,1,1,1,1,1,CSMAR00021_688327_20230130,688327,云从科技,2023-01-30,2023,csmar_investor_interaction;csmar_ir_meeting_qa,,AIGC;ChatGPT;GPT;大模型,AIGC;ChatGPT;GPT;大模型,1,1,0,0,0,1,1,0,1,1,尊敬的投资者，您好！ 随着OpenAI超级对话模型ChatGPT的发布，业界已经广泛感受到预训练大模型给AI行业带来的巨大机会。 首先，ChatGPT将“预训练大模型+下游任务微调”的训练方法发挥到了天花板级的水准，模型效果较过去有了跨越式的进步，作为一个超级对话模型，ChatGPT对用户意图的理解、应答的正确性，异常情况下的反应，体验都显著超出了大家的预期，给AI应用带来新的想象空间； 其次，ChatGPT的跨越式效果提升，主要得益于人机协同，即基于人类反馈的强化学习（RLHF），同时ChatGPT会给未来的人机交互体 || 核心算法方面--长期以来有两个流派：数据派（需要更多的数据来训练更大的模型）与知识派（加入人类知识，通过知识建立规则，向专家系统发展）。 随着Deep Learning的发展，即2006年开始，数据派占优，大量数据会支撑模型优化，在计算机视觉上有突破性进展。 2016年的代表Alpha Go带动资本浪潮，在AlphaGo时代，围棋上的成功并不能带来很大现实应用，而ChatGPT带来的重要推进，是其现实应用更多，类似助理。 （2）ChatGPT使用的模型与2年前发布的GPT3底层数据和参数规模一致，ChatGPT没有进一步,近期，微软追加投资100亿给OpenAI，BuzzFeed因使用ChatGPT大涨超过100%，贵司是否在中国版ChatGPT或大模型方面有技术储备或产品规划？它与人机协同操作系统是否有关联？ || 请分享下AI的发展历程？AI行业发展到现在的ChatGPT与AIGC，整个行业是不是到了高速发展的革命节点？ || 从训练的数据集、模型的体量来看，国内达到ChatGPT，包括模型能力、数据能力以及标注能力，2年之内有没有可能形成对标ChatGTP的类似产品？ || GPT3.0和GPT3.5的差别很大，对于知识点的回应比较全面， GPT3.5距离通用型人工,,
,,,,,,,QIAN00007,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00022_000810_20230131,000810,创维数字,2023-01-31,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,过往公司汽车智能板块与百度在Carlife、地图导航、语音交互等有合作，在人工智能AI领域公司与百度也展开过一系列深度的合作，如推出了搭载百度duerOS远场语音交互系统的创维小度AI盒子等产品，作为智能娱乐中心，融合了智能盒子、音箱、AI智能助手等功能。 公司虚拟现实直播等业务方面，会与AIGC相关机构、平台、内容方等合作，nlp 自然语音处理技术也会考虑与相应第三方达成合作。 感谢您的关注！,尊敬的董秘您好：\n请问公司在人工智能上和百度有没有合作，在aigc 这块有什么布局，另外公司是否有nlp 自然语音处理技术 || 以后的发展中公司有没有可能研发或合作引入chatgpt 这种人工智能，在VR中起到客服 引导的作用，例如在VR发展中作为VR商店的智能客服，VR游戏中的智能NPC，公司的景区视频中的智能讲解员。,,
,,,,,,,QIAN00008,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00025_002467_20230131,002467,二六三,2023-01-31,2023,csmar_investor_interaction,,AIGC,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,您好，我公司制作的虚拟数字人可在各类活动中担任虚拟主持人、AI讲师、AI客服等工作。 公司制作的虚拟数字人在语音交互功能中应用了基于AIGC技术的NLP问答技术。 公司敬请广大投资者注意的是，上述业务尚处于研究和探索阶段，存在较大不确定性。 || 您好，我公司制作的虚拟数字人可在各类活动中担任虚拟主持人、AI讲师、AI客服等工作。 公司敬请广大投资者注意的是，上述业务尚处于研究和探索,贵公司有没有AIGC技术？ || 公司是否有AIGC技术研究 || 请问贵司是否有AIGC技术或ChatGpt相关技术的业务？,,
,,,,,,,QIAN00009,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00026_002803_20230131,002803,吉宏股份,2023-01-31,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,您好，目前公司在跨境电商板块和SaaS吉喵云的主要业务模块里使用的AIGC技术均为自主研发。 公司负责跨境电商及SaaS平台业务的子公司共计拥有软件著作权超百件，属于技术驱动型企业。 感谢您的关注。 || 您好，目前公司在跨境电商板块和SaaS吉喵云的主要业务模块里均使用AIGC技术，如智能素材、智能广告、智能投放、智能客服等。 公司一直在持续推进数字化战略，持续完善数据中台，以充分挖掘和利用数据价值，并一直致力于AI技术的研发与应用。,你好，请问公司目前在ai智能广告、客服等领域应用的AIGC技术是否公司自主研发？ || 你好，麻烦介绍下公司人工智能领域AIGC应用情况？ || 公司在自然语言识别NLP领域或者chatgpt，有什么技术储备或者业务？,,
,,,,,,,QIAN00010,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00027_002858_20230131,002858,力盛体育,2023-01-31,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,GPT,1,1,0,0,0,1,1,0,0,0,尊敬的投资者，您好：公司注意到ChatGPT技术近期被热议的现象。 公司密切关注AIGC等新技术应用的发展动态，积极探索其与公司数字体育战略业务布局方向匹配的创新结合。 目前尚未形成具体的业务场景。,您好，贵公司是否有chat GPT等相关技术呢,,
,,,,,,,QIAN00011,keep_candidate_strong_specific_initiative,1,5,,0,0,0,0,0,0,CSMAR00029_300085_20230131,300085,银之杰,2023-01-31,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,1,您好！ ChatGPT是一款基于GPT的强化学习的交互类自然语言产品，属于AI在语义分析方向较前沿的应用。 公司一直关注AI的产品和市场机会，尤其是人工智能在金融服务、智能客服等方面的应用。 公司2017年投资的从事智能语音服务的百可录（北京）科技有限公司，已经将ChatGPT技术部署到智能坐席场景中。 公司也将继续尝试将其应用到银行的智能客服领域。,最近ChatGPT很火，请问公司在这方面是否有布局？,,
,,,,,,,QIAN00012,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00033_300949_20230131,300949,奥雅股份,2023-01-31,2023,csmar_investor_interaction,,AIGC,,1,0,0,0,0,1,1,0,0,0,，简称：芊熹洛杉矶Millennium LA，已完成在美国的注册，这也标志着公司在全球化布局中迈出了第一步。 \n芊熹洛杉矶公司将继续践行让空间赋予生命，以创意改变世界的理念，现已积极开展元宇宙数字科技的开发和应用、AIGC数字营销，数字影棚和制作，虚拟人应用等相关业务与研发。 公司将持续以“内容创造者、技术整合者、空间营造者、产业赋能者”逐步实现业态与商业模式的迭代升级。,你好，请问公司在美国有开展业务吗？,,
,,,,,,,QIAN00013,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00036_600986_20230131,600986,浙文互联,2023-01-31,2023,csmar_investor_interaction,,AIGC,AIGC,1,1,0,0,0,1,1,0,0,0,公司旗下米塔数字艺术作为元宇宙艺术创作社区，已开启AIGC模式，现支持AI绘画和手动绘画两种模式，打开AI绘画即可使用AI进行绘制，您可下载“米塔APP”进行体验。 感谢关注！ || 公司旗下米塔数字艺术作为元宇宙艺术创作社区，已开启AIGC模式，现支持AI绘画和手动绘画两种模式，打开AI绘画即可使用AI进行绘制，您可下载“米塔APP”进行体验。 || 公司旗下米塔数字艺术作为元宇宙艺术创作社区，已开启AIGC模式，现支持AI绘画和手动绘画两种模式，打开AI绘画即可使用AI进行绘制，您可下载“米塔APP”进,董秘您好，请问贵公司有AIGC（人工智能创作内容的生产方式）技术吗？ || 您好！请问贵公司是否已经布局AIGC相关的技术或者业务？都和哪些公司进行了合作？麻烦介绍一下，谢谢！ || 尊敬的董秘：股吧传闻浙文互联旗下米塔数字已开发了AIGC内容创作功能。请问是否属实？请问AIGC功能可以用来做什么？公司布局AIGC原因是什么？谢谢您的及时回复。,,
,,,,,,,QIAN00014,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00038_688018_20230131,688018,乐鑫科技,2023-01-31,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,我们注意到目前已有开发者开始使用ChatGPT来协助开发使用乐鑫产品，比如在B站和Youtube上已有相关案例视频。 公司也在评估如何将此类技术与自身业务相结合。,请问贵公司在人工智能chatGPT有涉及吗？,,
,,,,,,,QIAN00015,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00039_688039_20230131,688039,当虹科技,2023-01-31,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT;多模态,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,感谢您对当虹科技的关注！ || 尊敬的投资者您好，公司积极推进AI技术赋能各个行业，包括AIGC、NLP等与ChatGPT相关的技术和产品也已逐步完善并在部分业务中落地应用。 || 尊敬的投资者您好，公司AIGC相关技术在媒体演播室、智能媒资平台等众多场景上的应用已经较为成熟，可为电视台、新媒体、互联网、泛媒体行业等客户提供通过AI技术进行短视频、长视频的生产/加工等解决,公司在高清视频这块是龙头，那么在语音技术方面有什么布局？ || 请问公司在ChatGPT领域有何业务布局？谢谢！ || 董秘您好，请问公司有AIGC相关业务吗？或者有相关技术吗？,,
,,,,,,,QIAN00016,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00045_002298_20230201,002298,中电兴发,2023-02-01,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,感谢您对公司的关注。 公司关注到ChatGPT概念近期被热议，公司目前暂无ChatGPT相关业务。 ChatGPT是由人工智能研究实验室OpenAI发布的全新聊天机器人模型，是一款人工智能技术驱动的自然语言处理工具。 中电兴发是中国A股主板市场人工智能AI 50指数样本股企业，在AI/人工智能方面研发了多款自主产品，拥有数十项核心知识产权，其中包括在AIGC的相关技术。 公司在AI/人工智能方向进行了积极布局和深入的关键技术及应用研究，主要侧重于人工智能图像分析技术，具体技术和产品有：人脸识别算法、视频,你好，公司是否涉及ChatGPT？听说公司已经具备AIGC技术储备。,,
