query_term,query_tier,query_start_date,query_end_date,query_shard_index,query_shard_count,query_shard_depth,total_records,target_pages,successful_pages,failed_pages,failed_page_numbers,failed_page_errors,page_size
大语言模型,core_recall,2023-01-01,2026-06-03,1,1,0,10832,109,109,0,,,100
语言大模型,core_recall,2023-01-01,2026-06-03,1,1,0,10834,109,109,0,,,100
生成式AI,core_recall,2023-01-01,2026-06-03,1,1,0,4924,50,50,0,,,100
AIGC,core_recall,2023-01-01,2026-06-03,1,1,0,4744,48,48,0,,,100
ChatGPT,core_recall,2023-01-01,2026-06-03,1,1,0,2302,24,24,0,,,100
GPT,core_recall,2023-01-01,2026-06-03,1,1,0,1205,13,13,0,,,100
DeepSeek,core_recall,2023-01-01,2026-06-03,1,1,0,2832,29,29,0,,,100
通义千问,named_model,2023-01-01,2026-06-03,1,1,0,389,4,4,0,,,100
文心一言,named_model,2023-01-01,2026-06-03,1,1,0,2,1,1,0,,,100
讯飞星火,named_model,2023-01-01,2026-06-03,1,1,0,1459,15,15,0,,,100
星火认知,named_model,2023-01-01,2026-06-03,1,1,0,903,10,10,0,,,100
盘古大模型,named_model,2023-01-01,2026-06-03,1,1,0,733,8,8,0,,,100
腾讯混元,named_model,2023-01-01,2026-06-03,1,1,0,4591,46,46,0,,,100
豆包,named_model,2023-01-01,2026-06-03,1,1,0,360,4,4,0,,,100
Kimi,named_model,2023-01-01,2026-06-03,1,1,0,156,2,2,0,,,100
智谱,named_model,2023-01-01,2024-09-16,1,2,1,12275,123,123,0,,,100
智谱,named_model,2024-09-17,2026-06-03,2,2,1,12209,123,123,0,,,100
百川智能,named_model,2023-01-01,2026-06-03,1,1,0,0,0,0,0,,,100
生成式人工智能,zero_or_exact_check,2023-01-01,2026-06-03,1,1,0,0,0,0,0,,,100
生成式人工智能服务,zero_or_exact_check,2023-01-01,2026-06-03,1,1,0,0,0,0,0,,,100
大模型,broad_genai_recall,2023-01-01,2023-06-06,1,8,3,15870,159,159,0,,,100
大模型,broad_genai_recall,2023-06-07,2023-11-09,2,8,3,13422,135,135,0,,,100
大模型,broad_genai_recall,2023-11-10,2024-04-13,3,8,3,6617,67,67,0,,,100
大模型,broad_genai_recall,2024-04-14,2024-06-30,4,8,4,11267,113,113,0,,,100
大模型,broad_genai_recall,2024-07-01,2024-09-16,5,8,4,8819,89,89,0,,,100
大模型,broad_genai_recall,2024-09-17,2025-07-26,6,8,2,19326,194,194,0,,,100
大模型,broad_genai_recall,2025-07-27,2025-12-29,7,8,3,12270,123,123,0,,,100
大模型,broad_genai_recall,2025-12-30,2026-06-03,8,8,3,18876,189,189,0,,,100
混元大模型,broad_genai_recall,2023-01-01,2023-11-09,1,4,2,15664,157,157,0,,,100
混元大模型,broad_genai_recall,2023-11-10,2024-09-16,2,4,2,14096,141,141,0,,,100
混元大模型,broad_genai_recall,2024-09-17,2025-07-26,3,4,2,9173,92,92,0,,,100
混元大模型,broad_genai_recall,2025-07-27,2026-06-03,4,4,2,15894,159,159,0,,,100
模型备案,registry_recall,2023-01-01,2023-11-09,1,4,2,14616,147,147,0,,,100
模型备案,registry_recall,2023-11-10,2024-09-16,2,4,2,12453,125,125,0,,,100
模型备案,registry_recall,2024-09-17,2025-07-26,3,4,2,8486,85,85,0,,,100
模型备案,registry_recall,2025-07-27,2026-06-03,4,4,2,13060,131,131,0,,,100
