manual_keep_qian_0_1,manual_exclusion_reason,manual_product_or_process,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_confidence_1_3,manual_notes,review_id,qian_auto_label,qian_auto_keep_candidate,qian_evidence_score,auto_exclusion_hint,in_v23_upstream_first,v23_upstream_supplier_links,v23_upstream_ar0_valid_rows,has_supplier_link,supplier_linked_unique_suppliers,supplier_linked_return_rows,event_id,focal_code,company_name,event_date,event_year,source_type,title,answer_terms,question_terms,has_strict_genai_company_text,has_strict_genai_question_text,question_only_trigger,negative_no_current_flag,boilerplate_attention_flag,positive_initiative_action_flag,product_or_workflow_flag,deployment_or_contract_flag,partner_or_customer_flag,numeric_or_timeline_flag,genai_context,question_text,source_url,local_text_file
,,,,,,,QIAN00001,keep_candidate_strong_specific_initiative,1,5,,1,1,1,1,1,1,CSMAR00021_688327_20230130,688327,云从科技,2023-01-30,2023,csmar_investor_interaction;csmar_ir_meeting_qa,,AIGC;ChatGPT;GPT;大模型,AIGC;ChatGPT;GPT;大模型,1,1,0,0,0,1,1,0,1,1,尊敬的投资者，您好！ 随着OpenAI超级对话模型ChatGPT的发布，业界已经广泛感受到预训练大模型给AI行业带来的巨大机会。 首先，ChatGPT将“预训练大模型+下游任务微调”的训练方法发挥到了天花板级的水准，模型效果较过去有了跨越式的进步，作为一个超级对话模型，ChatGPT对用户意图的理解、应答的正确性，异常情况下的反应，体验都显著超出了大家的预期，给AI应用带来新的想象空间； 其次，ChatGPT的跨越式效果提升，主要得益于人机协同，即基于人类反馈的强化学习（RLHF），同时ChatGPT会给未来的人机交互体 || 核心算法方面--长期以来有两个流派：数据派（需要更多的数据来训练更大的模型）与知识派（加入人类知识，通过知识建立规则，向专家系统发展）。 随着Deep Learning的发展，即2006年开始，数据派占优，大量数据会支撑模型优化，在计算机视觉上有突破性进展。 2016年的代表Alpha Go带动资本浪潮，在AlphaGo时代，围棋上的成功并不能带来很大现实应用，而ChatGPT带来的重要推进，是其现实应用更多，类似助理。 （2）ChatGPT使用的模型与2年前发布的GPT3底层数据和参数规模一致，ChatGPT没有进一步,近期，微软追加投资100亿给OpenAI，BuzzFeed因使用ChatGPT大涨超过100%，贵司是否在中国版ChatGPT或大模型方面有技术储备或产品规划？它与人机协同操作系统是否有关联？ || 请分享下AI的发展历程？AI行业发展到现在的ChatGPT与AIGC，整个行业是不是到了高速发展的革命节点？ || 从训练的数据集、模型的体量来看，国内达到ChatGPT，包括模型能力、数据能力以及标注能力，2年之内有没有可能形成对标ChatGTP的类似产品？ || GPT3.0和GPT3.5的差别很大，对于知识点的回应比较全面， GPT3.5距离通用型人工,,
,,,,,,,QIAN00002,keep_candidate_strong_specific_initiative,1,5,,1,1,0,1,1,1,CSMAR00384_000409_20230209,000409,云鼎科技,2023-02-09,2023,csmar_investor_interaction,,AIGC;大模型,AIGC,1,1,0,0,0,1,1,0,1,1,公司与华为公司以能源行业产业数字化和数字产业化发展为突破口，充分整合发挥各自业务及技术创新优势，协同推动物联网、大数据、人工智能、区块链、5G等新一代信息技术在全要素、全产业链、全价值链中的深度融合。 在人工智能领域展开全面合作，围绕人工智能训练中心、大模型、智能矿山AI样板点打造等方面进行合作与研发。 || 您好！,你好！请问贵公司与华为在人工智能领域有哪些合作和研发？ || 你好！请问贵公司在AI和VR方面，矿山可视化方面有哪些应用？是否采用新一代人工智能AIGC人机通信交换技术？,,
,,,,,,,QIAN00003,keep_candidate_strong_specific_initiative,1,4,,1,2,2,1,2,2,CSMAR00385_000719_20230209,000719,中原传媒,2023-02-09,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,公司是一家出版企业，内容服务、知识服务是公司的核心业务。 公司注意到了您所说的ChatGPT，这是一款由OpenAI开发的消费级别的强人工智能应用，可以完成撰写邮件、代码、文案、作业、翻译等任务。 从知识服务的角度看，ChatGPT开辟了内容服务、知识服务新境界，与公司的价值追求高度匹配、契合度极高。 公司会持续高度关注，谢谢！,请问贵公司有在chatGPT方向布局嘛？,,
,,,,,,,QIAN00004,keep_candidate_strong_specific_initiative,1,5,,1,1,1,1,1,1,CSMAR00440_002045_20230210,002045,国光电器,2023-02-10,2023,csmar_investor_interaction,,ChatGPT;GPT;文心一言;生成式AI,ChatGPT;GPT;文心一言,1,1,0,0,0,1,1,1,1,0,公司是全球众多顶级品牌和国内主流品牌如百度等智能语音交互产品的供应商。 公司产品能应用于多个领域及场景，如智能音箱、车载智能机器人等，公司期望chatGPT及文心一言等生成式AI产品的发展能够开启交互性智能产品新的发展浪潮，进而为公司音响电声事业带来新的发展机遇。 || AI+IOT是公司重点发展方向。 公司产品能应用于多个领域及场景，如智能音箱、车载智能机器人等，公司期望chatGPT及文心一言等生成式AI产品的发展,请问贵公司有没有涉及chatgpt业务 || 董秘您好，贵司除了目前代工的VR产品品牌，还在拓展其他客户吗，是否与三星、苹果等厂商洽谈？目前产品是否具备CHATGPT功能？ || 国光电器为中国税务总局定制的智能服务机器人“税宝”，在广州营业已经接近两年时间了，反映良好。AI+IOT是公司将来重点发展方向，是正宗的ChatGPT概念对吗？,,
,,,,,,,QIAN00005,keep_candidate_strong_specific_initiative,1,4,,1,1,0,1,1,0,CSMAR01037_002156_20230302,002156,通富微电,2023-03-02,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,尊敬的投资者，您好！ 如AI以及Chatgpt大爆发，应该会拉动集成电路相关产品的需求，公司向来重视发展先进封测技术和产品，我们将积极关注产业、市场、客户、技术等方面的变化，抓住机遇，为股东创造价值。 谢谢！ || 尊敬的投资者，您好！ 如Chatgpt大爆发，应该会拉动集成电路相关产品的需求，公司向来重视发展先进封测技术和产品，我们将积极关注产业、市场、客户、技术等方面的变化，抓住机遇，为股东创造价值。,公司是否受益于AI以及Chatgpt 大爆发呢？ || 市场传言公司准备投入巨资专门研发适用于Chatgpt 的GPU，是否属实？,,
,,,,,,,QIAN00006,keep_candidate_strong_specific_initiative,1,5,,1,1,0,1,1,0,CSMAR01120_300338_20230307,300338,ST开元,2023-03-07,2023,csmar_investor_interaction,,文心一言,ChatGPT;GPT;文心一言,1,1,0,0,0,1,1,0,1,1,尊敬的投资人您好！ 公司公众号3月3日发布开元教育集团宣布成为百度文心一言首批生态合作伙伴。 后续，开元教育下属全资子公司（恒企教育、天琥教育、中大英才）将通过百度智能云全面体验并接入文心一言的能力。 感谢您对公司的关注！ || 尊敬的投资人您好！,你好， 公司网站发布3月3日开元教育集团宣布成为百度文心一言首批生态合作伙伴。后续下属全资子公司（恒企教育、天琥教育、中大英才）将通过百度智能云全面体验并接入文心一言的能力接下来，开元教育也将把百度领先的智能对话技术成果应用在职业教育领域。此举标志着开元教育优先获得领先AI技术的加持，也标志着对话式语言模型技术在国内教育场景的首批着陆，成为首批ChatGPT,,
,,,,,,,QIAN00007,keep_candidate_strong_specific_initiative,1,5,,1,1,0,1,1,0,CSMAR01315_002444_20230321,002444,巨星科技,2023-03-21,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,1,尊敬的投资者您好，公司跨境电商业务自2017年开始一直保持高速增长，2022年同比增速近50%，占同期公司收入的10%，公司跨境电商团队很早就使用大数据分析积累客户资源和无形资产，辅助公司产品选型和决策。 2023年年初公司美国团队主动接入chatgpt进行客服沟通和社媒沟通，目前取得了一定成效，相信2023年公司跨境电商业务将取得更大的进展。,董秘您好，跨境电商行业是比较适合chatgpt接入的应用场景，能够适用于趋势性产品选择、多语言客服沟通交流、抓取标题&关键词进行产品描述、社交媒体广告投放等。请问贵司跨境电商发展如何？现在是否已经运用chatgpt？,,
,,,,,,,QIAN00008,keep_candidate_strong_specific_initiative,1,4,,1,4,3,1,4,3,CSMAR01691_300825_20230331,300825,阿尔特,2023-03-31,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,,1,0,0,0,0,1,1,0,1,0,尊敬的投资者您好，公司多年来一直积极拥抱新技术，自从OpenAI公司的ChatGPT产品面世以来，公司也积极拥抱这一变革。 研发人员已在应用基于AIGC的多种AI软件（如Midjourney等）来辅助项目研发，对丰富创新灵感，提升研发设计效率方面具有较好的推动作用，尤其在造型创意参考、画质优化、三维动画逻辑等图形图像处理方面取得了良好的效果。 为给客户提供更高质高效的服务，未来将继续在更多研发环节探索AI应用可行性。,Ai加持汽车设计行业，加快汽车设计效率，又由于汽车设计的安全性要求，需要专业汽车设计工程师的二次验证。从以上角度，将是对贵公司运营效率的巨大提升同时又不会破坏竞争格局，请问公司是否认为借助Ai的加持，将对公司业务产生巨大推动作用？,,
,,,,,,,QIAN00009,keep_candidate_strong_specific_initiative,1,5,,1,1,1,1,2,2,CSMAR02328_600016_20230428,600016,民生银行,2023-04-28,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT;大模型,ChatGPT;GPT,1,1,0,0,0,1,1,1,1,0,尊敬的投资者，您好！ OpenAI公司的ChatGPT产品并未向中国开放。 AIGC（人工智能生成内容）是本行科技规划的新技术方向之一，类ChatGPT的大模型技术应用目前处于商业化初期，本行已对此开展技术预研孵化，并与国内知名IT企业合作，在营销内容创作、办公生产力、公共信息/知识检索、智能客服对话、技术工程辅助等方面开展内测，尝试使用其生成与创作能力。 鉴于目前该技术生成内容的可控性尚不足（可能出现虚假、误导、偏见、不良言论等），应用于直接面客业务的时机尚不成熟。,请问贵公司是否有将ChatGPT应用于公司业务，例如智能电话服务咨询等,,
,,,,,,,QIAN00010,keep_candidate_strong_specific_initiative,1,4,,1,1,1,1,1,1,CSMAR02329_600019_20230428,600019,宝钢股份,2023-04-28,2023,csmar_investor_interaction,,生成式人工智能,生成式AI,1,1,0,0,0,1,1,0,1,0,宝钢股份大力推进智慧制造，始终关注和紧跟IT技术最新发展趋势，并在钢铁制造领域融合应用。 我们已经注意到目前生成式人工智能技术处于快速爆发阶段，将会改变各行业生产方式和创新模式，大幅度提高工作效率。 我们会持续密切关注AI与工业的融合，在产品设计研发，经营决策，客户服务等领域探索、研究、应用。,请问公司如何看待生成式AI？宝钢公司是否把握这一次机会，谢谢！,,
