announcement_year,candidate_tier,rows,firms
2023,backfill_or_noisy_doc_with_action,774,357
2023,exclude_no_strict_genai_after_snippet,31437,5118
2023,priority_manual_event_candidate,186,102
2023,review_denial_or_uncertain_genai,129,81
2023,strict_genai_context_without_action,692,305
2024,backfill_or_noisy_doc_with_action,1430,616
2024,exclude_no_strict_genai_after_snippet,25749,5134
2024,priority_manual_event_candidate,310,202
2024,review_denial_or_uncertain_genai,166,125
2024,strict_genai_context_without_action,1147,521
2025,backfill_or_noisy_doc_with_action,3015,1243
2025,exclude_no_strict_genai_after_snippet,24564,5129
2025,priority_manual_event_candidate,537,382
2025,review_denial_or_uncertain_genai,246,159
2025,strict_genai_context_without_action,1872,881
2026,backfill_or_noisy_doc_with_action,2303,1215
2026,exclude_no_strict_genai_after_snippet,15333,5039
2026,priority_manual_event_candidate,256,214
2026,review_denial_or_uncertain_genai,161,116
2026,strict_genai_context_without_action,1378,860
