qian_auto_label,event_date,focal_code,company_name,source_type,title,genai_context,question_text
exclude_boilerplate_attention_only,2023-01-01,002230,科大讯飞,csmar_investor_interaction,,您好，公司对前沿热点领域均有密切关注。 ChatGPT主要涉及到自然语言处理相关技术，属于认知智能领域的应用之一。 科大讯飞主导承建了认知智能国家重点实验室，在认知智能领域，公司聚焦在以教育、医疗为代表的重大行业应用，核心技术和应用效果整体处于业界领先水平，例如，科大讯飞于2022年获得CommonsenseQA 2.,刘总新年快乐 最近open ai的聊天机器人很火 这个应该就是人工智能助手的雏形了 我身边很多人都非常需要这样的神器。 讯飞技术上应该可以搞但不知道要投入多大 要是讯飞能快速开发一款国内版本的还能比国外的优秀，肯定是巨大的品牌提升，对公司c端有很好促进。谢谢
exclude_boilerplate_attention_only,2023-01-01,600104,,csmar_ir_meeting_qa,,公司面向行业新赛道，不断打造技术新优势：公司把握“场景创造价值、数据决定体验、软件定义汽车”的行业变革趋势，着力打造新一代智能电动车的整车架构，并以此拉动多个整车技术攻关项目，加快关键技术研发和落地，塑造从芯片、操作系统、软件、数据闭环到对应场景的全新整车集成能力，具备中央集中式控制结合区/域控制、云管端一体化、数据驱动和迭代、智能感知、智能驾驶、智能座舱、整车运动智能控制、一体式铸造、分布式制造等产品和制造技术的最新特征。 同时，公司紧盯技术发展趋势，在固态电芯、800V高压、ChatGPT人工智能和机器学习的技术,公司面对行业变革，在新的竞争赛道上，形成了哪些核心技术优势？
exclude_boilerplate_attention_only,2023-01-01,688049,,csmar_ir_meeting_qa,,chatGPT是最新推出的一种云端人工智能技术驱动的自然语言处理工具，在云端使用海量的数据库训练出大型语言模型，具有革命性的机器自我学习能力和理解上下文的AI聊天互动功能。 公司作为中高端智能音频芯片设计原厂，公司的语音交互产品具有语音前处理和音效后处理技术、多MIC阵列技术、语音识别及语音处理加速、音视频编解码技术，专注于端侧应用，可结合相应算法实现端侧语音采集、语音前处理，语音识别及和云端语音数据交互等功能，为基于智能语音人机交互场景中重要的硬件载体。,公司是否有与chat GPT相关的应用？
exclude_boilerplate_attention_only,2023-01-31,300047,天源迪科,csmar_investor_interaction,,您好，公司研发的智能任务型对话系统，属于特定任务的人机交互，成果有应用到金融催收和智能回复等多行业应用场景中。 超级对话模型ChatGPT的发布，给AI行业带来了巨大的想象空间和市场机会，技术进步可催生更多颠覆性的应用场景。 公司对此十分关注，也将在人机交互领域持续扎实推进基础工作和投入。,ChatGPT的大火是否利好公司，天源迪科聚焦人工智能NLP自然语言处理细分领域，包括语义理解、语言生成和对话管理等核心组件，应用到智能语音对话机器人、教练机器人、辅助机器人和质检机器人等场景。
exclude_boilerplate_attention_only,2023-01-31,300634,彩讯股份,csmar_investor_interaction,,尊敬的投资者，您好，ChatGPT展现了AI在各行业的应用可能，借助通用AI技术服务，诸多行业都可能会找到提升生产效率的结合点。 当然目前ChatGPT也存在各种尚未完善的问题，有待进一步发展迭代。 感谢您的关注！ \n\n注：同样的问题“聊天机器人”会回答如下：\nChatGPT是一个大型语言模型，它的前景和发展受到许多因素的影响，包括但不限于：\nAI技术的发展：如果人工智能技术继续快速发展，ChatGPT的前景将受到促进。 \n应用需求：如果对语言处理技术的需求增加，ChatGPT的前景也将受到促进。 \n竞争：如果有,你们怎么看chatgpt的前景和发展？ || 你们的客户运营商在chatgpt会有怎样的布局，优势，发展？ || 你们在chatgpt方面在客户？在技术储备？在布局上有哪些？
exclude_denial_no_current_business,2023-01-05,688525,佰维存储,csmar_investor_interaction,,公司产品广泛应用于智能终端、PC、大数据、物联网、车联网、工业互联网等领域。 公司尚未涉及AIGC产品和业务，敬请投资者理性投资，注意风险。 感谢您的关注。,公司有AIGC产品和业务吗？
exclude_denial_no_current_business,2023-01-10,300468,四方精创,csmar_investor_interaction,,"乐寻坊人才互动平台是国内较早的、基于区块链的人才互动平台。 乐寻坊平台暂时只使用到区块链相关技术, 目前暂时没有您提及的AIGC方面的技术储备。",你好！贵公司的子公司乐寻坊是国内首家基于区块链的人才互动平台吗？这个平台有引入和应用WEB3.0来来开展吗？在AIGC方面有哪些探索和应用？
exclude_denial_no_current_business,2023-01-11,600088,中视传媒,csmar_investor_interaction,,投资者，您好！ 公司目前未应用AIGC。 感谢您对公司的关注。,董秘您好，请问贵公司或下属公司，是否有应用AIGC？谢谢！
exclude_denial_no_current_business,2023-01-13,301311,昆船智能,csmar_investor_interaction,,尊敬的投资者，您好！ 公司暂无产品应用于AIGC行业。 感谢您的关注。 || 尊敬的投资者，您好！ 公司尚未布局AIGC。,在不少人看来，AIGC是下一个科技革命的开端，新的时代正在来临。请问贵公司有产品参与应用于该行业吗？ || 贵司有没有布局AIGC相关赛道的应用？谢谢
exclude_denial_no_current_business,2023-01-14,301248,杰创智能,csmar_investor_interaction,,尊敬的投资者，您好！ 公司目前暂无AIGC方面实际的业务应用，公司将密切关注该领域的技术发展。 感谢您的关注。,董秘您好，请问贵公司是否涉及人工智能生成内容（AIGC）技术应用？如有，请做一些相关介绍。
