manual_keep_qian_0_1,manual_exclusion_reason,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_event_date_corrected,manual_initiative_type,manual_confidence_1_3,manual_notes,sec_code,sec_name,announcement_date,announcement_title,short_title,candidate_tier,qian_recall_score,query_terms,query_tiers,matched_genai_terms,title_exclusion_reason,announcement_content,action_snippet,denial_snippet,pdf_url,announcement_id,page_column,announcement_type
,,,,,,,,000681,视觉中国,2024-11-06,视觉中国：关于全资子公司与专业投资机构共同投资的公告,关于全资子公司与专业投资机构共同投资的公告,priority_manual_event_candidate,7,AIGC;大模型;智谱;模型备案,broad_genai_recall;core_recall;named_model;registry_recall,AIGC,,本次投资基金的主要目的在于借助专业投资机构的专业团队、项目资源和平台优势，进一步拓宽公司在 AIGC,视觉中国：关于全资子公司与专业投资机构共同投资的公告 关于全资子公司与专业投资机构共同投资的公告 本次投资基金的主要目的在于借助专业投资机构的专业团队、项目资源和平台优势，进一步拓宽公司在 AI,,https://static.cninfo.com.cn/finalpage/2024-11-07/1221639915.PDF,1221639915,SZZB,01010503||010112||011705
,,,,,,,,000818,航锦科技,2024-01-26,航锦科技：关于子公司与紫光晓通签订战略合作框架协议的公告,关于子公司与紫光晓通签订战略合作框架协议的公告,priority_manual_event_candidate,7,大模型;大语言模型;语言大模型,broad_genai_recall;core_recall,大语言模型,,三方共同策划并执行市场宣传活动，包括发布会、研讨会、案例研究和白皮书，以展示产品在各种应用场景中的潜力和优势，如大语言模型,航锦科技：关于子公司与紫光晓通签订战略合作框架协议的公告 关于子公司与紫光晓通签订战略合作框架协议的公告 三方共同策划并执行市场宣传活动，包括发布会、研讨会、案例研究和白皮书，以展示产品在各种应用场景中,,https://static.cninfo.com.cn/finalpage/2024-01-27/1219010051.PDF,1219010051,SZZB,01010503||010112||011705
,,,,,,,,000889,ST中嘉,2023-09-04,ST中嘉：关于与百度网讯签署《战略合作协议》的公告,关于与百度网讯签署《战略合作协议》的公告,priority_manual_event_candidate,7,AIGC;大模型;大语言模型;语言大模型,broad_genai_recall;core_recall,大模型,,合作后将利用百度“文心千帆”等人工智能大模型产品及技术，为金融机构和电信运营商开发创新应用，这些应用将覆盖风控,ST中嘉：关于与百度网讯签署《战略合作协议》的公告 关于与百度网讯签署《战略合作协议》的公告 合作后将利用百度“文心千帆”等人工智能大模型产品及技术，为金融机构和电信运营商开发创新应用，这,,https://static.cninfo.com.cn/finalpage/2023-09-05/1217775692.PDF,1217775692,SZZB,01010501||010112||012399
,,,,,,,,000925,众合科技,2023-04-27,众合科技：关于公司签署战略合作框架协议的公告,关于公司签署战略合作框架协议的公告,priority_manual_event_candidate,7,混元大模型,broad_genai_recall,大模型;行业大模型,,，沉淀行业知识和行业标准，驱动行业大模型训练；建立基于高效协作和时空大数据行业大模型下的新型城市信息模型总师服务能力,众合科技：关于公司签署战略合作框架协议的公告 关于公司签署战略合作框架协议的公告 ，沉淀行业知识和行业标准，驱动行业大模型训练；建立基于高效协作和时空大数据行业大模型下的新型城市信息,,https://static.cninfo.com.cn/finalpage/2023-04-28/1216651097.PDF,1216651097,SZZB,01010503||010112||011705
,,,,,,,,001267,汇绿生态,2024-05-19,汇绿生态：关于签订对外投资意向协议的公告,关于签订对外投资意向协议的公告,priority_manual_event_candidate,7,AIGC,core_recall,AIGC,,经过十余年发展，公司光通信产品深入民用与军工领域，且随着下游云计算、AIGC、5G通讯等市场快速增长，,汇绿生态：关于签订对外投资意向协议的公告 关于签订对外投资意向协议的公告 经过十余年发展，公司光通信产品深入民用与军工领域，且随着下游云计算、AIGC、5G通讯等市场快速增长，,,https://static.cninfo.com.cn/finalpage/2024-05-20/1220102458.PDF,1220102458,SZZB,01010503||010112||011705
,,,,,,,,001288,运机集团,2024-07-16,运机集团：关于与华为技术有限公司签订全面合作协议的公告,关于与华为技术有限公司签订全面合作协议的公告,priority_manual_event_candidate,7,大模型,broad_genai_recall,大模型,,，赋能运机集团构建智能设备制造能力和“矿石流”全场景数智化集成解决方案与服务能力，将人工智能大模型与矿山,运机集团：关于与华为技术有限公司签订全面合作协议的公告 关于与华为技术有限公司签订全面合作协议的公告 ，赋能运机集团构建智能设备制造能力和“矿石流”全场景数智化集成解决方案与服务能力，将人工智能大模型与矿,,https://static.cninfo.com.cn/finalpage/2024-07-17/1220654828.PDF,1220654828,SZZB,01010501||010112||011705
,,,,,,,,001309,德明利,2023-06-30,德明利：深圳市德明利技术股份有限公司2023年度向特定对象发行股票预案,深圳市德明利技术股份有限公司2023年度向特定对象发行股票预案,priority_manual_event_candidate,7,ChatGPT;GPT;大模型;模型备案,broad_genai_recall;core_recall;registry_recall,GPT,,此外，汽车智能化的升级，车载 NAND Flash 有望迎来高增；Chat GPT 等人工智能模型的发展,德明利：深圳市德明利技术股份有限公司2023年度向特定对象发行股票预案 深圳市德明利技术股份有限公司2023年度向特定对象发行股票预案 此外，汽车智能化的升级，车载 NAND Flash 有望迎来高增；Chat GPT 等人工智能模型的发展,,https://static.cninfo.com.cn/finalpage/2023-07-01/1217184755.PDF,1217184755,SZZB,01010503||010112||010701
,,,,,,,,001389,广合科技,2024-03-20,广合科技：首次公开发行股票并在主板上市发行公告,首次公开发行股票并在主板上市发行公告,priority_manual_event_candidate,7,ChatGPT;腾讯混元,core_recall;named_model,GPT;ChatGPT,,ChatGPT 等人工智能应用对算力需求的爆发，预计将带动 AI 服务器的大量需求。,广合科技：首次公开发行股票并在主板上市发行公告 首次公开发行股票并在主板上市发行公告 ChatGPT 等人工智能应用对算力需求的爆发，预计将带动 AI 服务器的大量需求。,,https://static.cninfo.com.cn/finalpage/2024-03-21/1219357765.PDF,1219357765,SZZB,01010501||01010701||010112||010205
,,,,,,,,002015,协鑫能科,2023-04-02,协鑫能科：关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告,关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告,priority_manual_event_candidate,7,大模型,broad_genai_recall,大模型,,公司已在安徽签约建设百亿规模的液冷超级智算中⼼，为国产大模型的研发训练、各行业领域的“AI+”产业智能化升级,协鑫能科：关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告 关于参与杭州星临科技有限责任公司增资扩股暨对外投资的公告 公司已在安徽签约建设百亿规模的液冷超级智算中⼼，为国产大模型的研发训练、各行业领域的“AI+”,,https://static.cninfo.com.cn/finalpage/2023-04-03/1216306546.PDF,1216306546,SZZB,01010503||010112||011705
,,,,,,,,002042,华孚时尚,2024-01-02,华孚时尚：关于全资子公司项目投资及签署相关设备采购合同的公告,关于全资子公司项目投资及签署相关设备采购合同的公告,priority_manual_event_candidate,7,AIGC;生成式AI,core_recall,AIGC,,签署设备采购合同之采购标的用于上虞华尚数智中心 AIGC 智算中心项目一期的建设。,华孚时尚：关于全资子公司项目投资及签署相关设备采购合同的公告 关于全资子公司项目投资及签署相关设备采购合同的公告 签署设备采购合同之采购标的用于上虞华尚数智中心 AIGC 智算中心项目一期的建,,https://static.cninfo.com.cn/finalpage/2024-01-03/1218792380.PDF,1218792380,SZZB,01010503||010112||011705||012327
