query_scope,column,plate,query_term,total,pages
szse_a,szse,sz,大模型,13,1
szse_a,szse,sz,大语言模型,1,1
szse_a,szse,sz,生成式人工智能,0,0
szse_a,szse,sz,生成式AI,0,0
szse_a,szse,sz,AIGC,0,0
szse_a,szse,sz,ChatGPT,0,0
szse_a,szse,sz,GPT,0,0
szse_a,szse,sz,DeepSeek,0,0
szse_a,szse,sz,模型备案,3,1
szse_a,szse,sz,人工智能大模型,0,0
szse_a,szse,sz,文心一言,0,0
szse_a,szse,sz,通义千问,0,0
szse_a,szse,sz,讯飞星火,4,1
szse_a,szse,sz,星火认知,3,1
szse_a,szse,sz,盘古大模型,0,0
szse_a,szse,sz,混元大模型,0,0
szse_a,szse,sz,豆包,0,0
szse_a,szse,sz,Kimi,0,0
szse_a,szse,sz,智谱,1,1
szse_a,szse,sz,人工智能,22,1
sse_a,sse,sh,大模型,0,0
sse_a,sse,sh,大语言模型,0,0
sse_a,sse,sh,生成式人工智能,0,0
sse_a,sse,sh,生成式AI,0,0
sse_a,sse,sh,AIGC,0,0
sse_a,sse,sh,ChatGPT,0,0
sse_a,sse,sh,GPT,0,0
sse_a,sse,sh,DeepSeek,0,0
sse_a,sse,sh,模型备案,0,0
sse_a,sse,sh,人工智能大模型,0,0
sse_a,sse,sh,文心一言,0,0
sse_a,sse,sh,通义千问,0,0
sse_a,sse,sh,讯飞星火,0,0
sse_a,sse,sh,星火认知,0,0
sse_a,sse,sh,盘古大模型,0,0
sse_a,sse,sh,混元大模型,0,0
sse_a,sse,sh,豆包,0,0
sse_a,sse,sh,Kimi,0,0
sse_a,sse,sh,智谱,0,0
sse_a,sse,sh,人工智能,116,4
bse_a,third,bj,大模型,1,1
bse_a,third,bj,大语言模型,0,0
bse_a,third,bj,生成式人工智能,0,0
bse_a,third,bj,生成式AI,0,0
bse_a,third,bj,AIGC,0,0
bse_a,third,bj,ChatGPT,0,0
bse_a,third,bj,GPT,0,0
bse_a,third,bj,DeepSeek,0,0
bse_a,third,bj,模型备案,1,1
bse_a,third,bj,人工智能大模型,0,0
bse_a,third,bj,文心一言,0,0
bse_a,third,bj,通义千问,0,0
bse_a,third,bj,讯飞星火,0,0
bse_a,third,bj,星火认知,0,0
bse_a,third,bj,盘古大模型,0,0
bse_a,third,bj,混元大模型,0,0
bse_a,third,bj,豆包,0,0
bse_a,third,bj,Kimi,0,0
bse_a,third,bj,智谱,1,1
bse_a,third,bj,人工智能,2,1
