manual_keep_qian_0_1,manual_exclusion_reason,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_event_date_corrected,manual_initiative_type,manual_confidence_1_3,manual_notes,sec_code,sec_name,announcement_date,announcement_title,short_title,candidate_tier,qian_recall_score,query_terms,query_tiers,matched_genai_terms,title_exclusion_reason,announcement_content,action_snippet,denial_snippet,pdf_url,announcement_id,page_column,announcement_type
,,,,,,,,000001,平安银行,2024-03-14,平安银行：2023年社会责任报告,2023年社会责任报告,strict_genai_context_without_action,3,ChatGPT;大模型;智谱;模型备案;混元大模型,broad_genai_recall;core_recall;named_model;registry_recall,GPT;ChatGPT,esg_or_internal_control_report,名中高级干部开展培训，课程紧贴国内外发展大势和国际重点关注的焦点问题，涵盖资本市场与实体经济发展、人工智能与ChatGPT,,,https://static.cninfo.com.cn/finalpage/2024-03-15/1219306480.PDF,1219306480,SZZB,01010503||010112||012330
,,,,,,,,000001,平安银行,2024-04-19,平安银行：2024年第一季度报告,2024年第一季度报告,backfill_or_noisy_doc_with_action,6,大模型,broad_genai_recall,大模型,periodic_report,三是自研大模型开放平台，统筹全行算法、模型和算力支撑，助力业务团队快速搭建场景化模型；3月末，大模型开放平台已在营销设计,平安银行：2024年第一季度报告 2024年第一季度报告 三是自研大模型开放平台，统筹全行算法、模型和算力支撑，助力业务团队快速搭建场景化模型；3月末，大模型开放平台已在营销设计,,https://static.cninfo.com.cn/finalpage/2024-04-20/1219692666.PDF,1219692666,SZZB,01010503||010112||010305
,,,,,,,,000001,平安银行,2024-10-18,平安银行：2024年第三季度报告,2024年第三季度报告,strict_genai_context_without_action,3,AIGC;大模型;智谱,broad_genai_recall;core_recall;named_model,AIGC,periodic_report,持续深化“AI+T+Offline”（AI 银行+远程银行+线下银行）服务模式，强化人工智能生成内容（AIGC,,,https://static.cninfo.com.cn/finalpage/2024-10-19/1221432574.PDF,1221432574,SZZB,01010501||010112||010307
,,,,,,,,000002,万 科Ａ,2024-03-28,万科A：2023年社会责任报告,2023年社会责任报告,backfill_or_noisy_doc_with_action,5,大模型;大语言模型;模型备案;混元大模型;语言大模型,broad_genai_recall;core_recall;registry_recall,大模型;行业大模型,esg_or_internal_control_report,2023 年，万物云首个物业行业大模型应用“天秤业委工作台”上线。,万科A：2023年社会责任报告 2023年社会责任报告 2023 年，万物云首个物业行业大模型应用“天秤业委工作台”上线。,,https://static.cninfo.com.cn/finalpage/2024-03-29/1219444702.PDF,1219444702,SZZB,01010503||010112||012330
,,,,,,,,000002,万 科Ａ,2024-08-30,万科A：2024年半年度报告摘要,2024年半年度报告摘要,backfill_or_noisy_doc_with_action,6,大模型;混元大模型,broad_genai_recall,大模型,periodic_report,产品借助“图纸大模型”技术，将多层次、非结构化、多模态的工程建筑图纸读取，通过自研的矢量图识别模型和图纸,万科A：2024年半年度报告摘要 2024年半年度报告摘要 产品借助“图纸大模型”技术，将多层次、非结构化、多模态的工程建筑图纸读取，通过自研的矢量图识别模型和图纸,,https://static.cninfo.com.cn/finalpage/2024-08-31/1221084197.PDF,1221084197,SZZB,01010503||010112||010303
,,,,,,,,000002,万 科Ａ,2024-08-30,万科A：2024年半年度报告,2024年半年度报告,backfill_or_noisy_doc_with_action,6,大模型;混元大模型,broad_genai_recall,大模型,periodic_report,产品借助“图纸大模型”技术，将多层次、非结构化、多模态的工程建筑图纸读取，通过自研的矢量图识别模型和图纸,万科A：2024年半年度报告 2024年半年度报告 产品借助“图纸大模型”技术，将多层次、非结构化、多模态的工程建筑图纸读取，通过自研的矢量图识别模型和图纸,,https://static.cninfo.com.cn/finalpage/2024-08-31/1221084198.PDF,1221084198,SZZB,01010503||010112||010303
,,,,,,,,000004,国华网安,2024-04-29,国华网安：2023年年度报告,2023年年度报告,backfill_or_noisy_doc_with_action,5,ChatGPT;大模型;大语言模型;智谱;模型备案;混元大模型;生成式AI;语言大模型,broad_genai_recall;core_recall;named_model;registry_recall,GPT;ChatGPT,periodic_report,3、人工智能重塑网络安全行业 2022 年底 ChatGPT 横空出世，受到 ChatGPT 应用场景多元化的启发,国华网安：2023年年度报告 2023年年度报告 3、人工智能重塑网络安全行业 2022 年底 ChatGPT 横空出世，受到 ChatGPT 应用场景多元化的启发,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219957415.PDF,1219957415,SZZB,01010503||010112||010301
,,,,,,,,000004,国华网安,2025-04-28,国华网安：2024年年度报告,2024年年度报告,strict_genai_context_without_action,4,AIGC;GPT;大语言模型;模型备案;混元大模型;生成式AI;语言大模型,broad_genai_recall;core_recall;registry_recall,GPT;生成式人工智能,periodic_report,公司控制的结构化主体情况 □适用 不适用 十一、公司未来发展的展望 2024 年，生成式人工智能技术的迭代（如 GPT,,,https://static.cninfo.com.cn/finalpage/2025-04-29/1223381901.PDF,1223381901,SZZB,01010503||010112||010301
,,,,,,,,000004,国华网安,2025-04-28,国华网安：2024年年度报告摘要,2024年年度报告摘要,strict_genai_context_without_action,3,AIGC;大模型;大语言模型;混元大模型;生成式AI;语言大模型,broad_genai_recall;core_recall,AIGC;生成式人工智能,periodic_report,（3）AIGC 合规评估服务：对企业生成式人工智能(AIGC)项目进行全面合规性检查的服务，旨在确保项目符合模型安全,,,https://static.cninfo.com.cn/finalpage/2025-04-29/1223381895.PDF,1223381895,SZZB,01010503||010112||010301
,,,,,,,,000006,深振业Ａ,2025-04-25,深振业Ａ：内部控制自我评价报告,内部控制自我评价报告,backfill_or_noisy_doc_with_action,5,AIGC,core_recall,AIGC,esg_or_internal_control_report,积极开展保障房产品标准化、改善型产品线研发，持续完善设计管理标准化文件，并尝试引入AI科技前沿技术-AIGC,深振业Ａ：内部控制自我评价报告 内部控制自我评价报告 积极开展保障房产品标准化、改善型产品线研发，持续完善设计管理标准化文件，并尝试引入AI科技前沿技术-AIGC,,https://static.cninfo.com.cn/finalpage/2025-04-26/1223309142.PDF,1223309142,SZZB,01010503||010112||012399
